"","X.1","X","home_team","away_team","season_type","week","posteam","posteam_type","defteam","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","td_player_name","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_name","passing_yards","receiver_player_name","receiving_yards","rusher_player_name","rushing_yards","lateral_receiver_player_name","lateral_receiving_yards","lateral_rusher_player_name","lateral_rushing_yards","lateral_sack_player_name","interception_player_name","lateral_interception_player_name","punt_returner_player_name","lateral_punt_returner_player_name","kickoff_returner_player_name","lateral_kickoff_returner_player_name","punter_player_name","kicker_player_name","own_kickoff_recovery_player_name","blocked_player_name","tackle_for_loss_1_player_name","tackle_for_loss_2_player_name","qb_hit_1_player_name","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_name","assist_tackle_4_team","tackle_with_assist","tackle_with_assist_1_player_name","tackle_with_assist_1_team","tackle_with_assist_2_player_name","tackle_with_assist_2_team","pass_defense_1_player_name","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_name","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_name","sack_player_name","half_sack_1_player_name","half_sack_2_player_name","return_team","return_yards","penalty_team","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","safety_player_name","season","series","series_success","series_result","order_sequence","play_clock","play_deleted","play_type_nfl","special_teams_play","st_play_type","end_clock_time","end_yard_line","fixed_drive","fixed_drive_result","drive_play_count","drive_time_of_possession","drive_first_downs","drive_ended_with_score","drive_quarter_start","drive_quarter_end","drive_yards_penalized","drive_start_transition","drive_end_transition","drive_game_clock_start","drive_game_clock_end","drive_start_yard_line","drive_end_yard_line","location","spread_line","total_line","div_game","roof","surface","temp","wind","home_coach","away_coach","game_stadium","aborted_play","success","passer","rusher","receiver","pass","rush","first_down","special","play","name","out_of_bounds","home_opening_kickoff","home_team_winner","game_flag","game_over","two_minute_warning","prob","desc","time","yrdln","quarter","prob_new","game_index"
"1",1,1,"CIN","BAL","POST",19,NA,NA,NA,NA,"2023-01-15",900,1800,3600,"Half1",0,NA,0,1,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2022,1,1,"First down",1,0,0,"GAME_START",0,NA,NA,NA,1,"Field goal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home",7.5,40,1,"outdoors","fieldturf",30,4,"Zac Taylor","John Harbaugh","Paycor Stadium",0,0,NA,NA,NA,0,0,NA,0,0,NA,0,1,1,"2022_19_BAL_CIN",0,0,0.796211242675781,"GAME","15:00","BAL 35","1st",0.819486379623413,1
"2",2,2,"CIN","BAL","POST",19,"CIN","home","BAL",35,"2023-01-15",900,1800,3600,"Half1",0,1,0,1,NA,0,0,54,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Tucker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",42,5,0,"KICK_OFF",1,NA,"15:00","CIN 25",1,"Field goal",14,"6:38",4,1,1,1,0,"KICKOFF","FIELD_GOAL","15:00","08:22","CIN 25","BAL 21","Home",7.5,40,1,"outdoors","fieldturf",30,4,"Zac Taylor","John Harbaugh","Paycor Stadium",0,0,NA,NA,NA,0,0,0,1,0,NA,0,1,1,"2022_19_BAL_CIN",0,0,0.842761516571045,"9-J.Tucker kicks 65 yards from BAL 35 to end zone, Touchback.","15:00","BAL 35","1st",0.823546330134074,2
"3",3,3,"CIN","BAL","POST",19,"CIN","home","BAL",75,"2023-01-15",900,1800,3600,"Half1",0,1,0,1,1,0,10,54,"run",6,1,0,0,0,0,0,NA,NA,NA,NA,"left","guard",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"J.Mixon",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",NA,"R.Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",57,18,0,"RUSH",0,NA,"14:58","CIN 31",1,"Field goal",14,"6:38",4,1,1,1,0,"KICKOFF","FIELD_GOAL","15:00","08:22","CIN 25","BAL 21","Home",7.5,40,1,"outdoors","fieldturf",30,4,"Zac Taylor","John Harbaugh","Paycor Stadium",0,1,NA,"J.Mixon",NA,0,1,0,0,1,"J.Mixon",0,1,1,"2022_19_BAL_CIN",0,0,0.831666231155396,"(15:00) (Shotgun) 28-J.Mixon left guard to CIN 31 for 6 yards (18-R.Smith).","15:00","CIN 25","1st",0.835364659627279,3
"4",4,4,"CIN","BAL","POST",19,"CIN","home","BAL",69,"2023-01-15",868,1768,3568,"Half1",0,1,0,1,2,0,4,54,"pass",3,1,0,1,0,0,0,"short","left",-3,6,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Burrow",3,"J.Mixon",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",NA,"M.Humphrey",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",78,13,0,"PASS",0,NA,"14:24","CIN 34",1,"Field goal",14,"6:38",4,1,1,1,0,"KICKOFF","FIELD_GOAL","15:00","08:22","CIN 25","BAL 21","Home",7.5,40,1,"outdoors","fieldturf",30,4,"Zac Taylor","John Harbaugh","Paycor Stadium",0,1,"J.Burrow",NA,"J.Mixon",1,0,0,0,1,"J.Burrow",1,1,1,"2022_19_BAL_CIN",0,0,0.831666231155396,"(14:28) (Shotgun) 9-J.Burrow pass short left to 28-J.Mixon pushed ob at CIN 34 for 3 yards (44-M.Humphrey).","14:28","CIN 31","1st",0.835364659627279,4
"5",5,5,"CIN","BAL","POST",19,"CIN","home","BAL",66,"2023-01-15",831,1731,3531,"Half1",0,1,0,1,3,0,1,54,"run",2,1,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"S.Perine",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",NA,"C.Campbell",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",107,5,0,"RUSH",0,NA,"13:48","CIN 36",1,"Field goal",14,"6:38",4,1,1,1,0,"KICKOFF","FIELD_GOAL","15:00","08:22","CIN 25","BAL 21","Home",7.5,40,1,"outdoors","fieldturf",30,4,"Zac Taylor","John Harbaugh","Paycor Stadium",0,1,NA,"S.Perine",NA,0,1,1,0,1,"S.Perine",0,1,1,"2022_19_BAL_CIN",0,0,0.842761516571045,"(13:51) (Shotgun) 34-S.Perine up the middle to CIN 36 for 2 yards (93-C.Campbell).","13:51","CIN 34","1st",0.835364659627279,5
"6",6,6,"CIN","BAL","POST",19,"CIN","home","BAL",64,"2023-01-15",793,1693,3493,"Half1",0,1,0,1,1,0,10,54,"pass",6,0,0,1,0,0,0,"short","right",1,5,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Burrow",6,"J.Mixon",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",NA,"C.Clark",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",128,8,0,"PASS",0,NA,"13:09","CIN 42",1,"Field goal",14,"6:38",4,1,1,1,0,"KICKOFF","FIELD_GOAL","15:00","08:22","CIN 25","BAL 21","Home",7.5,40,1,"outdoors","fieldturf",30,4,"Zac Taylor","John Harbaugh","Paycor Stadium",0,1,"J.Burrow",NA,"J.Mixon",1,0,0,0,1,"J.Burrow",1,1,1,"2022_19_BAL_CIN",0,0,0.831666231155396,"(13:13) 9-J.Burrow pass short right to 28-J.Mixon pushed ob at CIN 42 for 6 yards (36-C.Clark).","13:13","CIN 36","1st",0.835364659627279,6
"7",7,7,"CIN","BAL","POST",19,"CIN","home","BAL",58,"2023-01-15",757,1657,3457,"Half1",0,1,0,1,2,0,4,54,"pass",-2,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"J.Burrow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Pierre-Paul","B.Washington",NA,NA,NA,NA,NA,NA,NA,NA,"J.Pierre-Paul","BAL","B.Washington","BAL",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Pierre-Paul","B.Washington",NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",157,6,0,"SACK",0,NA,"12:33","CIN 40",1,"Field goal",14,"6:38",4,1,1,1,0,"KICKOFF","FIELD_GOAL","15:00","08:22","CIN 25","BAL 21","Home",7.5,40,1,"outdoors","fieldturf",30,4,"Zac Taylor","John Harbaugh","Paycor Stadium",0,0,"J.Burrow",NA,NA,1,0,0,0,1,"J.Burrow",0,1,1,"2022_19_BAL_CIN",0,0,0.831666231155396,"(12:37) (Shotgun) 9-J.Burrow sacked at CIN 40 for -2 yards (sack split by 4-J.Pierre-Paul and 96-B.Washington).","12:37","CIN 42","1st",0.831666231155396,7
"8",8,8,"CIN","BAL","POST",19,"CIN","home","BAL",60,"2023-01-15",711,1611,3411,"Half1",0,1,0,1,3,0,6,54,"pass",11,1,0,1,0,0,0,"short","middle",10,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Burrow",11,"T.Boyd",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",NA,"M.Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",176,2,0,"PASS",0,NA,"11:48","BAL 49",1,"Field goal",14,"6:38",4,1,1,1,0,"KICKOFF","FIELD_GOAL","15:00","08:22","CIN 25","BAL 21","Home",7.5,40,1,"outdoors","fieldturf",30,4,"Zac Taylor","John Harbaugh","Paycor Stadium",0,1,"J.Burrow",NA,"T.Boyd",1,0,1,0,1,"J.Burrow",0,1,1,"2022_19_BAL_CIN",0,0,0.831666231155396,"(11:51) (Shotgun) 9-J.Burrow pass short middle to 83-T.Boyd to BAL 49 for 11 yards (32-M.Williams).","11:51","CIN 40","1st",0.831666231155396,8
"9",9,9,"CIN","BAL","POST",19,"CIN","home","BAL",49,"2023-01-15",674,1574,3374,"Half1",0,1,0,1,1,0,10,54,"pass",5,1,0,1,0,0,0,"short","left",4,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Burrow",5,"J.Chase",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",NA,"K.Hamilton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",200,10,0,"PASS",0,NA,"11:12","BAL 44",1,"Field goal",14,"6:38",4,1,1,1,0,"KICKOFF","FIELD_GOAL","15:00","08:22","CIN 25","BAL 21","Home",7.5,40,1,"outdoors","fieldturf",30,4,"Zac Taylor","John Harbaugh","Paycor Stadium",0,0,"J.Burrow",NA,"J.Chase",1,0,0,0,1,"J.Burrow",0,1,1,"2022_19_BAL_CIN",0,0,0.831666231155396,"(11:14) (Shotgun) 9-J.Burrow pass short left to 1-J.Chase to BAL 44 for 5 yards (14-K.Hamilton).","11:14","BAL 49","1st",0.831666231155396,9
"10",10,10,"CIN","BAL","POST",19,"CIN","home","BAL",44,"2023-01-15",639,1539,3339,"Half1",0,1,0,1,2,0,5,54,"run",11,1,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"J.Mixon",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",NA,"K.Hamilton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",224,12,0,"RUSH",0,NA,"10:36","BAL 33",1,"Field goal",14,"6:38",4,1,1,1,0,"KICKOFF","FIELD_GOAL","15:00","08:22","CIN 25","BAL 21","Home",7.5,40,1,"outdoors","fieldturf",30,4,"Zac Taylor","John Harbaugh","Paycor Stadium",0,1,NA,"J.Mixon",NA,0,1,1,0,1,"J.Mixon",0,1,1,"2022_19_BAL_CIN",0,0,0.831666231155396,"(10:39) (Shotgun) 28-J.Mixon right guard to BAL 33 for 11 yards (14-K.Hamilton).","10:39","BAL 44","1st",0.831666231155396,10
