"","X.1","X","home_team","away_team","season_type","week","posteam","posteam_type","defteam","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","td_player_name","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_name","passing_yards","receiver_player_name","receiving_yards","rusher_player_name","rushing_yards","lateral_receiver_player_name","lateral_receiving_yards","lateral_rusher_player_name","lateral_rushing_yards","lateral_sack_player_name","interception_player_name","lateral_interception_player_name","punt_returner_player_name","lateral_punt_returner_player_name","kickoff_returner_player_name","lateral_kickoff_returner_player_name","punter_player_name","kicker_player_name","own_kickoff_recovery_player_name","blocked_player_name","tackle_for_loss_1_player_name","tackle_for_loss_2_player_name","qb_hit_1_player_name","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_name","assist_tackle_4_team","tackle_with_assist","tackle_with_assist_1_player_name","tackle_with_assist_1_team","tackle_with_assist_2_player_name","tackle_with_assist_2_team","pass_defense_1_player_name","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_name","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_name","sack_player_name","half_sack_1_player_name","half_sack_2_player_name","return_team","return_yards","penalty_team","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","safety_player_name","season","series","series_success","series_result","order_sequence","play_clock","play_deleted","play_type_nfl","special_teams_play","st_play_type","end_clock_time","end_yard_line","fixed_drive","fixed_drive_result","drive_play_count","drive_time_of_possession","drive_first_downs","drive_ended_with_score","drive_quarter_start","drive_quarter_end","drive_yards_penalized","drive_start_transition","drive_end_transition","drive_game_clock_start","drive_game_clock_end","drive_start_yard_line","drive_end_yard_line","location","spread_line","total_line","div_game","roof","surface","temp","wind","home_coach","away_coach","game_stadium","aborted_play","success","passer","rusher","receiver","pass","rush","first_down","special","play","name","out_of_bounds","home_opening_kickoff","home_team_winner","game_flag","game_over","two_minute_warning","prob","desc","time","yrdln","quarter","prob_new","game_index"
"1",364,358,"JAX","LAC","POST",19,NA,NA,NA,NA,"2023-01-14",900,1800,3600,"Half1",0,NA,0,1,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2022,1,0,"Turnover",1,0,0,"GAME_START",0,NA,NA,NA,1,"Turnover",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home",-2,46.5,0,"outdoors","grass",37,4,"Doug Pederson","Brandon Staley","TIAA Bank Stadium",0,0,NA,NA,NA,0,0,NA,0,0,NA,0,1,1,"2022_19_LAC_JAX",0,0,0.218991622328758,"GAME","15:00","LAC 35","1st",0.202465809881687,1
"2",365,359,"JAX","LAC","POST",19,"JAX","home","LAC",35,"2023-01-14",900,1800,3600,"Half1",0,1,0,1,NA,0,0,4,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Agnew",NA,NA,"C.Dicker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAC",NA,"A.Gilman",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAX",21,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,0,"Turnover",42,13,0,"KICK_OFF",1,NA,"14:57","JAX 24",1,"Turnover",2,"0:47",0,0,1,1,0,"KICKOFF","INTERCEPTION","15:00","14:13","JAX 24","JAX 28","Home",-2,46.5,0,"outdoors","grass",37,4,"Doug Pederson","Brandon Staley","TIAA Bank Stadium",0,0,NA,NA,NA,0,0,0,1,0,NA,0,1,1,"2022_19_LAC_JAX",0,0,0.185939997434616,"15-C.Dicker kicks 62 yards from LAC 35 to JAX 3. 39-J.Agnew to JAX 24 for 21 yards (32-A.Gilman).","15:00","LAC 35","1st",0.196957205732663,2
"3",366,360,"JAX","LAC","POST",19,"JAX","home","LAC",76,"2023-01-14",896,1796,3596,"Half1",0,1,0,1,1,0,10,4,"run",4,1,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"T.Etienne",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K.Murray","LAC",NA,NA,NA,NA,NA,NA,1,"M.Fox","LAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,0,"Turnover",64,13,0,"RUSH",0,NA,"14:52","JAX 28",1,"Turnover",2,"0:47",0,0,1,1,0,"KICKOFF","INTERCEPTION","15:00","14:13","JAX 24","JAX 28","Home",-2,46.5,0,"outdoors","grass",37,4,"Doug Pederson","Brandon Staley","TIAA Bank Stadium",0,1,NA,"T.Etienne",NA,0,1,0,0,1,"T.Etienne",0,1,1,"2022_19_LAC_JAX",0,0,0.185939997434616,"(14:56) (Shotgun) 1-T.Etienne up the middle to JAX 28 for 4 yards (56-M.Fox, 9-K.Murray).","14:56","JAX 24","1st",0.185939997434616,3
"4",367,361,"JAX","LAC","POST",19,"JAX","home","LAC",72,"2023-01-14",863,1763,3563,"Half1",0,1,0,1,2,0,6,4,"pass",0,1,0,1,0,0,0,"short","middle",5,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"T.Lawrence",NA,"C.Kirk",NA,NA,NA,NA,NA,NA,NA,NA,"D.Tranquill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.Jones","JAX","W.Little","JAX",NA,NA,NA,NA,0,NA,NA,NA,NA,"S.Joseph","D.Tranquill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAC",15,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,0,"Turnover",85,13,0,"PASS",0,NA,"14:13","JAX 18",1,"Turnover",2,"0:47",0,0,1,1,0,"KICKOFF","INTERCEPTION","15:00","14:13","JAX 24","JAX 28","Home",-2,46.5,0,"outdoors","grass",37,4,"Doug Pederson","Brandon Staley","TIAA Bank Stadium",0,0,"T.Lawrence",NA,"C.Kirk",1,0,0,0,1,"T.Lawrence",0,1,1,"2022_19_LAC_JAX",0,0,0.185939997434616,"(14:23) (Shotgun) 16-T.Lawrence pass short middle intended for 13-C.Kirk INTERCEPTED by 49-D.Tranquill (69-S.Joseph) at JAX 33. 49-D.Tranquill to JAX 18 for 15 yards (11-M.Jones; 72-W.Little).","14:23","JAX 28","1st",0.175481120745341,4
"5",368,362,"JAX","LAC","POST",19,"LAC","away","JAX",18,"2023-01-14",853,1753,3553,"Half1",0,2,0,1,1,0,10,18,"pass",5,1,0,1,0,0,0,"short","left",5,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Herbert",5,"D.Parham",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAX",NA,"D.Lloyd",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"Touchdown",111,13,0,"PASS",0,NA,"14:09","JAX 13",2,"Touchdown",2,"0:40",1,1,1,1,0,"INTERCEPTION","TOUCHDOWN","14:13","13:33","JAX 18","JAX 13","Home",-2,46.5,0,"outdoors","grass",37,4,"Doug Pederson","Brandon Staley","TIAA Bank Stadium",0,1,"J.Herbert",NA,"D.Parham",1,0,0,0,1,"J.Herbert",0,1,1,"2022_19_LAC_JAX",0,0,0.154563367366791,"(14:13) (Shotgun) 10-J.Herbert pass short left to 89-D.Parham to JAX 13 for 5 yards (33-D.Lloyd).","14:13","JAX 18","1st",0.149691052734852,5
"6",369,363,"JAX","LAC","POST",19,"LAC","away","JAX",13,"2023-01-14",820,1720,3520,"Half1",0,2,1,1,2,0,5,18,"run",13,0,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,"LAC","A.Ekeler",3,3,0,6,0,0,0,6,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"A.Ekeler",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"Touchdown",135,13,0,"RUSH",0,NA,"13:33",NA,2,"Touchdown",2,"0:40",1,1,1,1,0,"INTERCEPTION","TOUCHDOWN","14:13","13:33","JAX 18","JAX 13","Home",-2,46.5,0,"outdoors","grass",37,4,"Doug Pederson","Brandon Staley","TIAA Bank Stadium",0,1,NA,"A.Ekeler",NA,0,1,1,0,1,"A.Ekeler",0,1,1,"2022_19_LAC_JAX",0,0,0.108569793403149,"(13:40) 30-A.Ekeler right guard for 13 yards, TOUCHDOWN.","13:40","JAX 13","1st",0.119116465250651,6
"7",370,364,"JAX","LAC","POST",19,"LAC","away","JAX",15,"2023-01-14",813,1713,3513,"Half1",0,2,1,1,NA,0,0,18,"extra_point",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,33,"good",NA,3,3,0,NA,NA,NA,3,3,0,7,6,0,6,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.Dicker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"Touchdown",157,8,0,"XP_KICK",1,NA,NA,NA,2,"Touchdown",2,"0:40",1,1,1,1,0,"INTERCEPTION","TOUCHDOWN","14:13","13:33","JAX 18","JAX 13","Home",-2,46.5,0,"outdoors","grass",37,4,"Doug Pederson","Brandon Staley","TIAA Bank Stadium",0,1,NA,NA,NA,0,0,0,1,0,NA,0,1,1,"2022_19_LAC_JAX",0,0,0.0942162349820137,"15-C.Dicker extra point is GOOD, Center-47-J.Harris, Holder-16-J.Scott.","13:33","JAX 15","1st",0.0952447305123012,7
"8",371,365,"JAX","LAC","POST",19,"JAX","home","LAC",35,"2023-01-14",813,1713,3513,"Half1",0,3,0,1,NA,0,0,42,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.Dicker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAX",0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",173,10,0,"KICK_OFF",1,NA,"13:33","JAX 25",3,"Turnover",9,"3:31",3,0,1,1,0,"KICKOFF","INTERCEPTION","13:33","10:02","JAX 25","LAC 33","Home",-2,46.5,0,"outdoors","grass",37,4,"Doug Pederson","Brandon Staley","TIAA Bank Stadium",0,0,NA,NA,NA,0,0,0,1,0,NA,0,1,1,"2022_19_LAC_JAX",0,0,0.082948163151741,"15-C.Dicker kicks 65 yards from LAC 35 to end zone, Touchback.","13:33","LAC 35","1st",0.0867041870951652,8
"9",372,366,"JAX","LAC","POST",19,"JAX","home","LAC",75,"2023-01-14",813,1713,3513,"Half1",0,3,0,1,1,0,10,42,"pass",16,1,0,1,0,0,0,"short","right",15,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"T.Lawrence",16,"E.Engram",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAC",NA,"D.James",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",188,4,0,"PASS",0,NA,"13:29","JAX 41",3,"Turnover",9,"3:31",3,0,1,1,0,"KICKOFF","INTERCEPTION","13:33","10:02","JAX 25","LAC 33","Home",-2,46.5,0,"outdoors","grass",37,4,"Doug Pederson","Brandon Staley","TIAA Bank Stadium",0,1,"T.Lawrence",NA,"E.Engram",1,0,1,0,1,"T.Lawrence",0,1,1,"2022_19_LAC_JAX",0,0,0.082948163151741,"(13:33) (Shotgun) 16-T.Lawrence pass short right to 17-E.Engram to JAX 41 for 16 yards (3-D.James).","13:33","JAX 25","1st",0.082948163151741,9
"10",373,367,"JAX","LAC","POST",19,"JAX","home","LAC",59,"2023-01-14",778,1678,3478,"Half1",0,3,0,1,1,0,10,42,"run",4,1,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"T.Etienne",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAC",NA,"D.James",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,1,"First down",212,13,0,"RUSH",0,NA,"12:54","JAX 45",3,"Turnover",9,"3:31",3,0,1,1,0,"KICKOFF","INTERCEPTION","13:33","10:02","JAX 25","LAC 33","Home",-2,46.5,0,"outdoors","grass",37,4,"Doug Pederson","Brandon Staley","TIAA Bank Stadium",0,0,NA,"T.Etienne",NA,0,1,0,0,1,"T.Etienne",0,1,1,"2022_19_LAC_JAX",0,0,0.082948163151741,"(12:58) (Shotgun) 1-T.Etienne right guard to JAX 45 for 4 yards (3-D.James).","12:58","JAX 41","1st",0.082948163151741,10
