"","X.1","X","home_team","away_team","season_type","week","posteam","posteam_type","defteam","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","td_player_name","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_name","passing_yards","receiver_player_name","receiving_yards","rusher_player_name","rushing_yards","lateral_receiver_player_name","lateral_receiving_yards","lateral_rusher_player_name","lateral_rushing_yards","lateral_sack_player_name","interception_player_name","lateral_interception_player_name","punt_returner_player_name","lateral_punt_returner_player_name","kickoff_returner_player_name","lateral_kickoff_returner_player_name","punter_player_name","kicker_player_name","own_kickoff_recovery_player_name","blocked_player_name","tackle_for_loss_1_player_name","tackle_for_loss_2_player_name","qb_hit_1_player_name","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_name","assist_tackle_4_team","tackle_with_assist","tackle_with_assist_1_player_name","tackle_with_assist_1_team","tackle_with_assist_2_player_name","tackle_with_assist_2_team","pass_defense_1_player_name","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_name","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_name","sack_player_name","half_sack_1_player_name","half_sack_2_player_name","return_team","return_yards","penalty_team","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","safety_player_name","season","series","series_success","series_result","order_sequence","play_clock","play_deleted","play_type_nfl","special_teams_play","st_play_type","end_clock_time","end_yard_line","fixed_drive","fixed_drive_result","drive_play_count","drive_time_of_possession","drive_first_downs","drive_ended_with_score","drive_quarter_start","drive_quarter_end","drive_yards_penalized","drive_start_transition","drive_end_transition","drive_game_clock_start","drive_game_clock_end","drive_start_yard_line","drive_end_yard_line","location","spread_line","total_line","div_game","roof","surface","temp","wind","home_coach","away_coach","game_stadium","aborted_play","success","passer","rusher","receiver","pass","rush","first_down","special","play","name","out_of_bounds","home_opening_kickoff","home_team_winner","game_flag","game_over","two_minute_warning","prob","desc","time","yrdln","quarter","prob_new","game_index"
"1",559,549,"BUF","MIA","POST",19,NA,NA,NA,NA,"2023-01-15",900,1800,3600,"Half1",0,NA,0,1,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2022,1,1,"First down",1,0,0,"GAME_START",0,NA,NA,NA,1,"Turnover on downs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home",14,44,1,"outdoors","a_turf",27,4,"Sean McDermott","Mike McDaniel","New Era Field",0,0,NA,NA,NA,0,0,NA,0,0,NA,0,1,1,"2022_19_MIA_BUF",0,0,0.309270769357681,"GAME","15:00","MIA 35","1st",0.288263484835624,1
"2",560,550,"BUF","MIA","POST",19,"BUF","home","MIA",35,"2023-01-15",900,1800,3600,"Half1",0,1,0,1,NA,0,0,43,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Sanders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",41,11,0,"KICK_OFF",1,NA,"15:00","BUF 25",1,"Turnover on downs",6,"3:04",3,0,1,1,5,"KICKOFF","DOWNS","15:00","11:56","BUF 25","MIA 32","Home",14,44,1,"outdoors","a_turf",27,4,"Sean McDermott","Mike McDaniel","New Era Field",0,0,NA,NA,NA,0,0,0,1,0,NA,0,1,1,"2022_19_MIA_BUF",0,0,0.267256200313568,"7-J.Sanders kicks 65 yards from MIA 35 to end zone, Touchback. Kick through end zone.","15:00","MIA 35","1st",0.276046792666117,2
"3",561,551,"BUF","MIA","POST",19,"BUF","home","MIA",75,"2023-01-15",900,1800,3600,"Half1",0,1,0,1,1,0,10,43,"no_play",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"MIA","J.Baker",5,0,NA,"Defensive Holding",0,0,0,0,NA,2022,1,1,"First down",60,11,0,"PENALTY",0,NA,"14:54","BUF 30",1,"Turnover on downs",6,"3:04",3,0,1,1,5,"KICKOFF","DOWNS","15:00","11:56","BUF 25","MIA 32","Home",14,44,1,"outdoors","a_turf",27,4,"Sean McDermott","Mike McDaniel","New Era Field",0,1,"J.Allen",NA,"S.Diggs",1,0,1,0,1,"J.Allen",0,1,1,"2022_19_MIA_BUF",0,0,0.251613408327103,"(15:00) 17-J.Allen pass incomplete deep right to 14-S.Diggs. PENALTY on MIA-55-J.Baker, Defensive Holding, 5 yards, enforced at BUF 25 - No Play.","15:00","BUF 25","1st",0.256827672322591,3
"4",562,552,"BUF","MIA","POST",19,"BUF","home","MIA",70,"2023-01-15",893,1793,3593,"Half1",0,1,0,1,1,0,10,43,"pass",17,1,0,1,0,0,0,"deep","right",16,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Allen",17,"K.Shakir",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA",NA,"J.Holland",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",93,9,0,"PASS",0,NA,"14:50","BUF 47",1,"Turnover on downs",6,"3:04",3,0,1,1,5,"KICKOFF","DOWNS","15:00","11:56","BUF 25","MIA 32","Home",14,44,1,"outdoors","a_turf",27,4,"Sean McDermott","Mike McDaniel","New Era Field",0,1,"J.Allen",NA,"K.Shakir",1,0,1,0,1,"J.Allen",0,1,1,"2022_19_MIA_BUF",0,0,0.251613408327103,"(14:53) (Shotgun) 17-J.Allen pass deep right to 10-K.Shakir to BUF 47 for 17 yards (8-J.Holland).","14:53","BUF 30","1st",0.251613408327103,4
"5",563,553,"BUF","MIA","POST",19,"BUF","home","MIA",53,"2023-01-15",858,1758,3558,"Half1",0,1,0,1,1,0,10,43,"pass",14,1,0,1,0,0,0,"short","right",5,9,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Allen",14,"S.Diggs",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA",NA,"X.Howard",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",117,10,0,"PASS",0,NA,"14:15","MIA 39",1,"Turnover on downs",6,"3:04",3,0,1,1,5,"KICKOFF","DOWNS","15:00","11:56","BUF 25","MIA 32","Home",14,44,1,"outdoors","a_turf",27,4,"Sean McDermott","Mike McDaniel","New Era Field",0,1,"J.Allen",NA,"S.Diggs",1,0,1,0,1,"J.Allen",0,1,1,"2022_19_MIA_BUF",0,0,0.251613408327103,"(14:18) (Shotgun) 17-J.Allen pass short right to 14-S.Diggs to MIA 39 for 14 yards (25-X.Howard).","14:18","BUF 47","1st",0.251613408327103,5
"6",564,554,"BUF","MIA","POST",19,"BUF","home","MIA",39,"2023-01-15",824,1724,3524,"Half1",0,1,0,1,1,0,10,43,"run",2,1,0,0,0,0,0,NA,NA,NA,NA,"left","tackle",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"D.Singletary",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA",NA,"J.Phillips",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,0,"Turnover on downs",141,11,0,"RUSH",0,NA,"13:41","MIA 37",1,"Turnover on downs",6,"3:04",3,0,1,1,5,"KICKOFF","DOWNS","15:00","11:56","BUF 25","MIA 32","Home",14,44,1,"outdoors","a_turf",27,4,"Sean McDermott","Mike McDaniel","New Era Field",0,0,NA,"D.Singletary",NA,0,1,0,0,1,"D.Singletary",0,1,1,"2022_19_MIA_BUF",0,0,0.251613408327103,"(13:44) (Shotgun) 26-D.Singletary left tackle to MIA 37 for 2 yards (15-J.Phillips).","13:44","MIA 39","1st",0.251613408327103,6
"7",565,555,"BUF","MIA","POST",19,"BUF","home","MIA",37,"2023-01-15",788,1688,3488,"Half1",0,1,0,1,2,0,8,43,"run",3,1,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"J.Cook",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA",NA,"E.Roberts",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,0,"Turnover on downs",162,9,0,"RUSH",0,NA,NA,"MIA 34",1,"Turnover on downs",6,"3:04",3,0,1,1,5,"KICKOFF","DOWNS","15:00","11:56","BUF 25","MIA 32","Home",14,44,1,"outdoors","a_turf",27,4,"Sean McDermott","Mike McDaniel","New Era Field",0,0,NA,"J.Cook",NA,0,1,0,0,1,"J.Cook",0,1,1,"2022_19_MIA_BUF",0,0,0.251613408327103,"(13:08) (Shotgun) 28-J.Cook right guard to MIA 34 for 3 yards (52-E.Roberts).","13:08","MIA 37","1st",0.251613408327103,7
"8",566,556,"BUF","MIA","POST",19,"BUF","home","MIA",34,"2023-01-15",747,1647,3447,"Half1",0,1,0,1,3,0,5,43,"run",2,1,0,1,0,0,1,NA,NA,NA,NA,"left","end",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,"J.Allen",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA","D.Riley",NA,NA,"MIA",NA,"D.Riley",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"BUF","J.Allen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,0,"Turnover on downs",183,5,0,"RUSH",0,NA,"12:20","MIA 32",1,"Turnover on downs",6,"3:04",3,0,1,1,5,"KICKOFF","DOWNS","15:00","11:56","BUF 25","MIA 32","Home",14,44,1,"outdoors","a_turf",27,4,"Sean McDermott","Mike McDaniel","New Era Field",0,0,"J.Allen",NA,NA,1,0,0,0,1,"J.Allen",0,1,1,"2022_19_MIA_BUF",0,0,0.251613408327103,"(12:27) (Shotgun) 17-J.Allen scrambles left end to MIA 32 for 2 yards (45-D.Riley). FUMBLES (45-D.Riley), ball out of bounds at MIA 26. Ball placed at point of fumble (BUF 32).","12:27","MIA 34","1st",0.251613408327103,8
"9",567,557,"BUF","MIA","POST",19,"BUF","home","MIA",32,"2023-01-15",720,1620,3420,"Half1",0,1,0,1,4,0,3,43,"pass",0,1,0,1,0,0,0,"short","right",2,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J.Allen",NA,"C.Beasley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,0,"Turnover on downs",239,7,0,"PASS",0,NA,"11:56","MIA 32",1,"Turnover on downs",6,"3:04",3,0,1,1,5,"KICKOFF","DOWNS","15:00","11:56","BUF 25","MIA 32","Home",14,44,1,"outdoors","a_turf",27,4,"Sean McDermott","Mike McDaniel","New Era Field",0,0,"J.Allen",NA,"C.Beasley",1,0,0,0,1,"J.Allen",0,1,1,"2022_19_MIA_BUF",0,0,0.251613408327103,"(12:00) (Shotgun) 17-J.Allen pass incomplete short right to 11-C.Beasley.","12:00","MIA 32","1st",0.266699115435283,9
"10",568,558,"BUF","MIA","POST",19,"MIA","away","BUF",68,"2023-01-15",716,1616,3416,"Half1",0,2,0,1,1,0,10,2,"run",2,1,0,0,0,0,0,NA,NA,NA,NA,"right","tackle",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"J.Wilson",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T.Johnson","BUF","G.Rousseau","BUF",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,5,0,"Punt",265,13,0,"RUSH",0,NA,"11:52","MIA 34",2,"Punt",3,"0:59",0,0,1,1,0,"DOWNS","PUNT","11:56","10:57","MIA 32","MIA 34","Home",14,44,1,"outdoors","a_turf",27,4,"Sean McDermott","Mike McDaniel","New Era Field",0,0,NA,"J.Wilson",NA,0,1,0,0,1,"J.Wilson",0,1,1,"2022_19_MIA_BUF",0,0,0.296870529651642,"(11:56) (Shotgun) 23-J.Wilson right tackle to MIA 34 for 2 yards (7-T.Johnson; 50-G.Rousseau).","11:56","MIA 32","1st",0.28754327694575,10
