"","X.1","X","home_team","away_team","season_type","week","posteam","posteam_type","defteam","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","td_player_name","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_name","passing_yards","receiver_player_name","receiving_yards","rusher_player_name","rushing_yards","lateral_receiver_player_name","lateral_receiving_yards","lateral_rusher_player_name","lateral_rushing_yards","lateral_sack_player_name","interception_player_name","lateral_interception_player_name","punt_returner_player_name","lateral_punt_returner_player_name","kickoff_returner_player_name","lateral_kickoff_returner_player_name","punter_player_name","kicker_player_name","own_kickoff_recovery_player_name","blocked_player_name","tackle_for_loss_1_player_name","tackle_for_loss_2_player_name","qb_hit_1_player_name","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_name","assist_tackle_4_team","tackle_with_assist","tackle_with_assist_1_player_name","tackle_with_assist_1_team","tackle_with_assist_2_player_name","tackle_with_assist_2_team","pass_defense_1_player_name","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_name","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_name","sack_player_name","half_sack_1_player_name","half_sack_2_player_name","return_team","return_yards","penalty_team","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","safety_player_name","season","series","series_success","series_result","order_sequence","play_clock","play_deleted","play_type_nfl","special_teams_play","st_play_type","end_clock_time","end_yard_line","fixed_drive","fixed_drive_result","drive_play_count","drive_time_of_possession","drive_first_downs","drive_ended_with_score","drive_quarter_start","drive_quarter_end","drive_yards_penalized","drive_start_transition","drive_end_transition","drive_game_clock_start","drive_game_clock_end","drive_start_yard_line","drive_end_yard_line","location","spread_line","total_line","div_game","roof","surface","temp","wind","home_coach","away_coach","game_stadium","aborted_play","success","passer","rusher","receiver","pass","rush","first_down","special","play","name","out_of_bounds","home_opening_kickoff","home_team_winner","game_flag","game_over","two_minute_warning","prob","desc","time","yrdln","quarter","prob_new","game_index"
"1",770,754,"MIN","NYG","POST",19,NA,NA,NA,NA,"2023-01-15",900,1800,3600,"Half1",0,NA,0,1,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2022,1,1,"First down",1,0,0,"GAME_START",0,NA,NA,NA,1,"Touchdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home",2.5,48,0,"dome","sportturf",NA,NA,"Kevin O'Connell","Brian Daboll","U.S. Bank Stadium",0,0,NA,NA,NA,0,0,NA,0,0,NA,0,1,0,"2022_19_NYG_MIN",0,0,0.622295796871185,"GAME","15:00","NYG 35","1st",0.657782018184661,1
"2",771,755,"MIN","NYG","POST",19,"MIN","home","NYG",35,"2023-01-15",900,1800,3600,"Half1",0,1,0,1,NA,0,0,75,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.Gano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIN",0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",43,3,0,"KICK_OFF",1,NA,"15:00","MIN 25",1,"Touchdown",12,"6:37",7,1,1,1,5,"KICKOFF","TOUCHDOWN","15:00","08:23","MIN 25","NYG 1","Home",2.5,48,0,"dome","sportturf",NA,NA,"Kevin O'Connell","Brian Daboll","U.S. Bank Stadium",0,0,NA,NA,NA,0,0,0,1,0,NA,0,1,0,"2022_19_NYG_MIN",0,0,0.693268239498138,"9-G.Gano kicks 65 yards from NYG 35 to end zone, Touchback.","15:00","NYG 35","1st",0.663749237855275,2
"3",772,756,"MIN","NYG","POST",19,"MIN","home","NYG",75,"2023-01-15",900,1800,3600,"Half1",0,1,0,1,1,0,10,75,"pass",10,1,0,1,0,0,0,"short","right",8,2,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"K.Cousins",10,"J.Jefferson",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X.McKinney","NYG",NA,NA,NA,NA,NA,NA,1,"A.Jackson","NYG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",58,7,0,"PASS",0,NA,"14:54","MIN 35",1,"Touchdown",12,"6:37",7,1,1,1,5,"KICKOFF","TOUCHDOWN","15:00","08:23","MIN 25","NYG 1","Home",2.5,48,0,"dome","sportturf",NA,NA,"Kevin O'Connell","Brian Daboll","U.S. Bank Stadium",0,1,"K.Cousins",NA,"J.Jefferson",1,0,1,0,1,"K.Cousins",0,1,0,"2022_19_NYG_MIN",0,0,0.675683677196503,"(15:00) (Shotgun) 8-K.Cousins pass short right to 18-J.Jefferson to MIN 35 for 10 yards (22-A.Jackson, 29-X.McKinney).","15:00","MIN 25","1st",0.681545197963715,3
"4",773,757,"MIN","NYG","POST",19,"MIN","home","NYG",65,"2023-01-15",859,1759,3559,"Half1",0,1,0,1,1,0,10,75,"run",9,0,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"D.Cook",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",NA,"K.Thibodeaux",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",82,7,0,"RUSH",0,NA,"14:16","MIN 44",1,"Touchdown",12,"6:37",7,1,1,1,5,"KICKOFF","TOUCHDOWN","15:00","08:23","MIN 25","NYG 1","Home",2.5,48,0,"dome","sportturf",NA,NA,"Kevin O'Connell","Brian Daboll","U.S. Bank Stadium",0,1,NA,"D.Cook",NA,0,1,0,0,1,"D.Cook",0,1,0,"2022_19_NYG_MIN",0,0,0.675683677196503,"(14:19) 4-D.Cook up the middle to MIN 44 for 9 yards (5-K.Thibodeaux).","14:19","MIN 35","1st",0.675683677196503,4
"5",774,758,"MIN","NYG","POST",19,"MIN","home","NYG",56,"2023-01-15",825,1725,3525,"Half1",0,1,0,1,2,0,1,75,"run",2,0,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"D.Cook",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.Williams","NYG","D.Lawrence","NYG",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",103,12,0,"RUSH",0,NA,NA,"MIN 46",1,"Touchdown",12,"6:37",7,1,1,1,5,"KICKOFF","TOUCHDOWN","15:00","08:23","MIN 25","NYG 1","Home",2.5,48,0,"dome","sportturf",NA,NA,"Kevin O'Connell","Brian Daboll","U.S. Bank Stadium",0,0,NA,"D.Cook",NA,0,1,1,0,1,"D.Cook",0,1,0,"2022_19_NYG_MIN",0,0,0.675683677196503,"(13:45) 4-D.Cook up the middle to MIN 46 for 2 yards (99-L.Williams; 97-D.Lawrence).","13:45","MIN 44","1st",0.675683677196503,5
"6",775,759,"MIN","NYG","POST",19,"MIN","home","NYG",54,"2023-01-15",788,1688,3488,"Half1",0,1,0,1,1,0,10,75,"pass",10,0,0,1,0,0,0,"short","right",10,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"K.Cousins",10,"J.Jefferson",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",NA,"X.McKinney",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",124,8,0,"PASS",0,NA,"13:05","NYG 44",1,"Touchdown",12,"6:37",7,1,1,1,5,"KICKOFF","TOUCHDOWN","15:00","08:23","MIN 25","NYG 1","Home",2.5,48,0,"dome","sportturf",NA,NA,"Kevin O'Connell","Brian Daboll","U.S. Bank Stadium",0,1,"K.Cousins",NA,"J.Jefferson",1,0,1,0,1,"K.Cousins",0,1,0,"2022_19_NYG_MIN",0,0,0.675683677196503,"(13:08) 8-K.Cousins pass short right to 18-J.Jefferson to NYG 44 for 10 yards (29-X.McKinney).","13:08","MIN 46","1st",0.675683677196503,6
"7",776,760,"MIN","NYG","POST",19,"MIN","home","NYG",44,"2023-01-15",749,1649,3449,"Half1",0,1,0,1,1,0,10,75,"run",3,0,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"D.Cook",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",NA,"J.Ward",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,1,"First down",148,7,0,"RUSH",0,NA,"12:25","NYG 41",1,"Touchdown",12,"6:37",7,1,1,1,5,"KICKOFF","TOUCHDOWN","15:00","08:23","MIN 25","NYG 1","Home",2.5,48,0,"dome","sportturf",NA,NA,"Kevin O'Connell","Brian Daboll","U.S. Bank Stadium",0,0,NA,"D.Cook",NA,0,1,0,0,1,"D.Cook",0,1,0,"2022_19_NYG_MIN",0,0,0.675683677196503,"(12:29) 4-D.Cook up the middle to NYG 41 for 3 yards (55-J.Ward).","12:29","NYG 44","1st",0.675683677196503,7
"8",777,761,"MIN","NYG","POST",19,"MIN","home","NYG",41,"2023-01-15",722,1622,3422,"Half1",0,1,0,1,2,0,7,75,"pass",13,1,1,1,0,0,0,"short","middle",13,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"K.Cousins",13,"A.Thielen",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D.Lawrence",NA,NA,NA,NA,NA,"NYG",NA,"F.Moreau",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,1,"First down",169,21,0,"PASS",0,NA,"12:00","NYG 28",1,"Touchdown",12,"6:37",7,1,1,1,5,"KICKOFF","TOUCHDOWN","15:00","08:23","MIN 25","NYG 1","Home",2.5,48,0,"dome","sportturf",NA,NA,"Kevin O'Connell","Brian Daboll","U.S. Bank Stadium",0,1,"K.Cousins",NA,"A.Thielen",1,0,1,0,1,"K.Cousins",0,1,0,"2022_19_NYG_MIN",0,0,0.675683677196503,"(12:02) (No Huddle, Shotgun) 8-K.Cousins pass short middle to 19-A.Thielen to NYG 28 for 13 yards (37-F.Moreau) [97-D.Lawrence].","12:02","NYG 41","1st",0.675683677196503,8
"9",778,762,"MIN","NYG","POST",19,"MIN","home","NYG",28,"2023-01-15",700,1600,3400,"Half1",0,1,0,1,1,0,10,75,"pass",5,0,1,1,0,0,0,"short","left",4,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"K.Cousins",5,"J.Jefferson",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Smith","NYG",NA,NA,NA,NA,NA,NA,1,"A.Jackson","NYG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,5,1,"First down",193,22,0,"PASS",0,NA,"11:36","NYG 23",1,"Touchdown",12,"6:37",7,1,1,1,5,"KICKOFF","TOUCHDOWN","15:00","08:23","MIN 25","NYG 1","Home",2.5,48,0,"dome","sportturf",NA,NA,"Kevin O'Connell","Brian Daboll","U.S. Bank Stadium",0,1,"K.Cousins",NA,"J.Jefferson",1,0,0,0,1,"K.Cousins",0,1,0,"2022_19_NYG_MIN",0,0,0.675683677196503,"(11:40) (No Huddle) 8-K.Cousins pass short left to 18-J.Jefferson to NYG 23 for 5 yards (22-A.Jackson, 54-J.Smith).","11:40","NYG 28","1st",0.681545197963715,9
"10",779,763,"MIN","NYG","POST",19,"MIN","home","NYG",23,"2023-01-15",657,1557,3357,"Half1",0,1,0,1,2,0,5,75,"no_play",0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"NYG","D.Lawrence",5,0,NA,"Encroachment",0,0,0,0,NA,2022,5,1,"First down",217,2,0,"PENALTY",0,NA,"10:57","NYG 18",1,"Touchdown",12,"6:37",7,1,1,1,5,"KICKOFF","TOUCHDOWN","15:00","08:23","MIN 25","NYG 1","Home",2.5,48,0,"dome","sportturf",NA,NA,"Kevin O'Connell","Brian Daboll","U.S. Bank Stadium",0,1,NA,NA,NA,0,0,1,0,1,NA,0,1,0,"2022_19_NYG_MIN",0,0,0.693268239498138,"(10:57) (Shotgun) PENALTY on NYG-97-D.Lawrence, Encroachment, 5 yards, enforced at NYG 23 - No Play.","10:57","NYG 23","1st",0.681545197963715,10
