"","X.1","X","home_team","away_team","season_type","week","posteam","posteam_type","defteam","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","td_player_name","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_name","passing_yards","receiver_player_name","receiving_yards","rusher_player_name","rushing_yards","lateral_receiver_player_name","lateral_receiving_yards","lateral_rusher_player_name","lateral_rushing_yards","lateral_sack_player_name","interception_player_name","lateral_interception_player_name","punt_returner_player_name","lateral_punt_returner_player_name","kickoff_returner_player_name","lateral_kickoff_returner_player_name","punter_player_name","kicker_player_name","own_kickoff_recovery_player_name","blocked_player_name","tackle_for_loss_1_player_name","tackle_for_loss_2_player_name","qb_hit_1_player_name","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_name","assist_tackle_4_team","tackle_with_assist","tackle_with_assist_1_player_name","tackle_with_assist_1_team","tackle_with_assist_2_player_name","tackle_with_assist_2_team","pass_defense_1_player_name","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_name","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_name","sack_player_name","half_sack_1_player_name","half_sack_2_player_name","return_team","return_yards","penalty_team","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","safety_player_name","season","series","series_success","series_result","order_sequence","play_clock","play_deleted","play_type_nfl","special_teams_play","st_play_type","end_clock_time","end_yard_line","fixed_drive","fixed_drive_result","drive_play_count","drive_time_of_possession","drive_first_downs","drive_ended_with_score","drive_quarter_start","drive_quarter_end","drive_yards_penalized","drive_start_transition","drive_end_transition","drive_game_clock_start","drive_game_clock_end","drive_start_yard_line","drive_end_yard_line","location","spread_line","total_line","div_game","roof","surface","temp","wind","home_coach","away_coach","game_stadium","aborted_play","success","passer","rusher","receiver","pass","rush","first_down","special","play","name","out_of_bounds","home_opening_kickoff","home_team_winner","game_flag","game_over","two_minute_warning","prob","desc","time","yrdln","quarter","prob_new","game_index"
"1",939,923,"SF","SEA","POST",19,NA,NA,NA,NA,"2023-01-14",900,1800,3600,"Half1",0,NA,0,1,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2022,1,0,"Punt",1,0,0,"GAME_START",0,NA,NA,NA,1,"Punt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home",10,42,1,"outdoors","grass",57,11,"Kyle Shanahan","Pete Carroll","Levi's Stadium",0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,1,"2022_19_SEA_SF",0,0,0.311021536588669,"GAME","15:00","SF 35","1st",0.313466578722,1
"2",940,924,"SF","SEA","POST",19,"SEA","away","SF",35,"2023-01-14",900,1800,3600,"Half1",0,1,0,1,NA,0,0,-2,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.Igwebuike",NA,NA,"R.Gould",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Mason","SF","D.Flannigan-Fowles","SF",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",19,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,0,"Punt",41,0,0,"KICK_OFF",1,NA,"14:57","SEA 20",1,"Punt",3,"2:25",0,0,1,1,0,"KICKOFF","PUNT","15:00","12:35","SEA 20","SEA 18","Home",10,42,1,"outdoors","grass",57,11,"Kyle Shanahan","Pete Carroll","Levi's Stadium",0,0,NA,NA,NA,0,0,0,1,0,NA,0,0,1,"2022_19_SEA_SF",0,0,0.315911620855331,"9-R.Gould kicks 64 yards from SF 35 to SEA 1. 38-G.Igwebuike to SEA 20 for 19 yards (24-J.Mason; 45-D.Flannigan-Fowles).","15:00","SF 35","1st",0.314281592766444,2
"3",941,925,"SF","SEA","POST",19,"SEA","away","SF",80,"2023-01-14",896,1796,3596,"Half1",0,1,0,1,1,0,10,-2,"run",9,0,0,0,0,0,0,NA,NA,NA,NA,"left","end",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"K.Walker",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T.Hufanga","SF","D.Lenoir","SF",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,0,"Punt",65,13,0,"RUSH",0,NA,"14:52","SEA 29",1,"Punt",3,"2:25",0,0,1,1,0,"KICKOFF","PUNT","15:00","12:35","SEA 20","SEA 18","Home",10,42,1,"outdoors","grass",57,11,"Kyle Shanahan","Pete Carroll","Levi's Stadium",0,1,NA,"K.Walker",NA,0,1,0,0,1,"K.Walker",0,0,1,"2022_19_SEA_SF",0,0,0.315911620855331,"(14:56) 9-K.Walker left end to SEA 29 for 9 yards (29-T.Hufanga; 38-D.Lenoir).","14:56","SEA 20","1st",0.315911620855331,3
"4",942,926,"SF","SEA","POST",19,"SEA","away","SF",71,"2023-01-14",854,1754,3554,"Half1",0,1,0,1,2,0,1,-2,"run",-1,0,0,0,0,0,0,NA,NA,NA,NA,"left","tackle",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"K.Walker",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Kinlaw",NA,NA,NA,NA,NA,NA,NA,"SF",NA,"J.Kinlaw",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,0,"Punt",86,5,0,"RUSH",0,NA,"14:10","SEA 28",1,"Punt",3,"2:25",0,0,1,1,0,"KICKOFF","PUNT","15:00","12:35","SEA 20","SEA 18","Home",10,42,1,"outdoors","grass",57,11,"Kyle Shanahan","Pete Carroll","Levi's Stadium",0,0,NA,"K.Walker",NA,0,1,0,0,1,"K.Walker",0,0,1,"2022_19_SEA_SF",0,0,0.315911620855331,"(14:14) 9-K.Walker left tackle to SEA 28 for -1 yards (99-J.Kinlaw).","14:14","SEA 29","1st",0.310134887695312,4
"5",943,927,"SF","SEA","POST",19,"SEA","away","SF",72,"2023-01-14",808,1708,3508,"Half1",0,1,0,1,3,0,2,-2,"pass",-10,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G.Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A.Armstead",NA,"A.Armstead",NA,NA,NA,NA,NA,"SF",NA,"A.Armstead",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A.Armstead",NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,0,"Punt",107,1,0,"SACK",0,NA,"13:25","SEA 18",1,"Punt",3,"2:25",0,0,1,1,0,"KICKOFF","PUNT","15:00","12:35","SEA 20","SEA 18","Home",10,42,1,"outdoors","grass",57,11,"Kyle Shanahan","Pete Carroll","Levi's Stadium",0,0,"G.Smith",NA,NA,1,0,0,0,1,"G.Smith",0,0,1,"2022_19_SEA_SF",0,0,0.298581421375275,"(13:28) (Shotgun) 7-G.Smith sacked at SEA 18 for -10 yards (91-A.Armstead).","13:28","SEA 28","1st",0.310134887695312,5
"6",944,928,"SF","SEA","POST",19,"SEA","away","SF",82,"2023-01-14",763,1663,3463,"Half1",0,1,0,1,4,0,12,-2,"punt",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R.McCloud",NA,NA,NA,"M.Dickson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,0,"Punt",126,14,0,"PUNT",1,NA,"12:35","SF 36",1,"Punt",3,"2:25",0,0,1,1,0,"KICKOFF","PUNT","15:00","12:35","SEA 20","SEA 18","Home",10,42,1,"outdoors","grass",57,11,"Kyle Shanahan","Pete Carroll","Levi's Stadium",0,1,NA,NA,NA,0,0,0,1,0,NA,0,0,1,"2022_19_SEA_SF",0,0,0.315911620855331,"(12:43) 4-M.Dickson punts 46 yards to SF 36, Center-46-C.Tinker, fair catch by 3-R.McCloud.","12:43","SEA 18","1st",0.325963666041692,6
"7",945,929,"SF","SEA","POST",19,"SF","home","SEA",64,"2023-01-14",755,1655,3455,"Half1",0,2,0,1,1,0,10,48,"pass",0,1,0,1,0,0,0,"deep","left",28,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B.Purdy",NA,"D.Samuel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",149,0,0,"PASS",0,NA,"12:30","SF 36",2,"Field goal",7,"2:22",2,1,1,1,0,"PUNT","FIELD_GOAL","12:35","10:13","SF 36","SEA 16","Home",10,42,1,"outdoors","grass",57,11,"Kyle Shanahan","Pete Carroll","Levi's Stadium",0,0,"B.Purdy",NA,"D.Samuel",1,0,0,0,1,"B.Purdy",0,0,1,"2022_19_SEA_SF",0,0,0.36339795589447,"(12:35) (Shotgun) 13-B.Purdy pass incomplete deep left to 19-D.Samuel.","12:35","SF 36","1st",0.34756917754809,7
"8",946,930,"SF","SEA","POST",19,"SF","home","SEA",64,"2023-01-14",749,1649,3449,"Half1",0,2,0,1,2,0,10,48,"pass",19,1,0,1,0,0,0,"short","middle",15,4,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"B.Purdy",19,"B.Aiyuk",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",NA,"T.Woolen",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",192,6,0,"PASS",0,NA,"12:25","SEA 45",2,"Field goal",7,"2:22",2,1,1,1,0,"PUNT","FIELD_GOAL","12:35","10:13","SF 36","SEA 16","Home",10,42,1,"outdoors","grass",57,11,"Kyle Shanahan","Pete Carroll","Levi's Stadium",0,1,"B.Purdy",NA,"B.Aiyuk",1,0,1,0,1,"B.Purdy",0,0,1,"2022_19_SEA_SF",0,0,0.36339795589447,"(12:29) (Shotgun) 13-B.Purdy pass short middle to 11-B.Aiyuk to SEA 45 for 19 yards (27-T.Woolen). 4 YAC","12:29","SF 36","1st",0.36339795589447,8
"9",947,931,"SF","SEA","POST",19,"SF","home","SEA",45,"2023-01-14",709,1609,3409,"Half1",0,2,0,1,1,0,10,48,"run",22,0,0,0,0,0,0,NA,NA,NA,NA,"left","end",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"D.Samuel",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",NA,"C.Barton",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",232,6,0,"RUSH",0,NA,"11:44","SEA 23",2,"Field goal",7,"2:22",2,1,1,1,0,"PUNT","FIELD_GOAL","12:35","10:13","SF 36","SEA 16","Home",10,42,1,"outdoors","grass",57,11,"Kyle Shanahan","Pete Carroll","Levi's Stadium",0,1,NA,"D.Samuel",NA,0,1,1,0,1,"D.Samuel",1,0,1,"2022_19_SEA_SF",0,0,0.36339795589447,"(11:49) 19-D.Samuel left end pushed ob at SEA 23 for 22 yards (57-C.Barton).","11:49","SEA 45","1st",0.34399797519048,9
"10",948,932,"SF","SEA","POST",19,NA,NA,NA,NA,"2023-01-14",672,1572,3372,"Half1",0,2,0,1,NA,0,0,48,"no_play",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,"SF",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,0,"Field goal",242.5,0,0,"TIMEOUT",0,NA,NA,NA,2,"Field goal",7,"2:22",2,1,1,1,0,"PUNT","FIELD_GOAL","12:35","10:13","SF 36","SEA 16","Home",10,42,1,"outdoors","grass",57,11,"Kyle Shanahan","Pete Carroll","Levi's Stadium",0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,1,"2022_19_SEA_SF",0,0,0.305198013782501,"Timeout #1 by SF at 11:12.","11:12","SEA 23","1st",0.34399797519048,10
