"","X.1","X","home_team","away_team","season_type","week","posteam","posteam_type","defteam","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","td_player_name","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_name","passing_yards","receiver_player_name","receiving_yards","rusher_player_name","rushing_yards","lateral_receiver_player_name","lateral_receiving_yards","lateral_rusher_player_name","lateral_rushing_yards","lateral_sack_player_name","interception_player_name","lateral_interception_player_name","punt_returner_player_name","lateral_punt_returner_player_name","kickoff_returner_player_name","lateral_kickoff_returner_player_name","punter_player_name","kicker_player_name","own_kickoff_recovery_player_name","blocked_player_name","tackle_for_loss_1_player_name","tackle_for_loss_2_player_name","qb_hit_1_player_name","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_name","assist_tackle_4_team","tackle_with_assist","tackle_with_assist_1_player_name","tackle_with_assist_1_team","tackle_with_assist_2_player_name","tackle_with_assist_2_team","pass_defense_1_player_name","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_name","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_name","sack_player_name","half_sack_1_player_name","half_sack_2_player_name","return_team","return_yards","penalty_team","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","safety_player_name","season","series","series_success","series_result","order_sequence","play_clock","play_deleted","play_type_nfl","special_teams_play","st_play_type","end_clock_time","end_yard_line","fixed_drive","fixed_drive_result","drive_play_count","drive_time_of_possession","drive_first_downs","drive_ended_with_score","drive_quarter_start","drive_quarter_end","drive_yards_penalized","drive_start_transition","drive_end_transition","drive_game_clock_start","drive_game_clock_end","drive_start_yard_line","drive_end_yard_line","location","spread_line","total_line","div_game","roof","surface","temp","wind","home_coach","away_coach","game_stadium","aborted_play","success","passer","rusher","receiver","pass","rush","first_down","special","play","name","out_of_bounds","home_opening_kickoff","home_team_winner","game_flag","game_over","two_minute_warning","prob","desc","time","yrdln","quarter","prob_new","game_index"
"1",1115,1099,"BUF","CIN","POST",20,NA,NA,NA,NA,"2023-01-22",900,1800,3600,"Half1",0,NA,0,1,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2022,1,1,"First down",1,0,0,"GAME_START",0,NA,NA,NA,1,"Touchdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home",6,48.5,0,"outdoors","a_turf",32,4,"Sean McDermott","Zac Taylor","New Era Field",0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,"2022_20_CIN_BUF",0,0,0.162704631686211,"GAME","15:00","BUF 35","1st",0.141772340983153,1
"2",1116,1100,"BUF","CIN","POST",20,"CIN","away","BUF",35,"2023-01-22",900,1800,3600,"Half1",0,1,0,1,NA,0,0,79,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T.Williams",NA,NA,"T.Bass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.Lewis","BUF",NA,NA,NA,NA,NA,NA,1,"T.Jones","BUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",21,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",41,15,0,"KICK_OFF",1,NA,"14:57","CIN 21",1,"Touchdown",6,"3:20",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","11:40","CIN 21","BUF 28","Home",6,48.5,0,"outdoors","a_turf",32,4,"Sean McDermott","Zac Taylor","New Era Field",0,0,NA,NA,NA,0,0,0,1,0,NA,0,0,0,"2022_20_CIN_BUF",0,0,0.120840050280094,"2-T.Bass kicks 65 yards from BUF 35 to CIN 0. 32-T.Williams to CIN 21 for 21 yards (25-T.Jones, 39-C.Lewis).","15:00","BUF 35","1st",0.13199886928002,2
"3",1117,1101,"BUF","CIN","POST",20,"CIN","away","BUF",79,"2023-01-22",895,1795,3595,"Half1",0,1,0,1,1,0,10,79,"pass",6,1,0,1,0,0,0,"short","right",5,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Burrow",6,"J.Chase",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",NA,"T.Edmunds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",63,15,0,"PASS",0,NA,"14:52","CIN 27",1,"Touchdown",6,"3:20",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","11:40","CIN 21","BUF 28","Home",6,48.5,0,"outdoors","a_turf",32,4,"Sean McDermott","Zac Taylor","New Era Field",0,1,"J.Burrow",NA,"J.Chase",1,0,0,0,1,"J.Burrow",0,0,0,"2022_20_CIN_BUF",0,0,0.112451925873756,"(14:55) (Shotgun) 9-J.Burrow pass short right to 1-J.Chase to CIN 27 for 6 yards (49-T.Edmunds).","14:55","CIN 21","1st",0.115247967342535,3
"4",1118,1102,"BUF","CIN","POST",20,"CIN","away","BUF",73,"2023-01-22",858,1758,3558,"Half1",0,1,0,1,2,0,4,79,"run",5,1,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"J.Mixon",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",NA,"T.Edmunds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",87,8,0,"RUSH",0,NA,"14:16","CIN 32",1,"Touchdown",6,"3:20",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","11:40","CIN 21","BUF 28","Home",6,48.5,0,"outdoors","a_turf",32,4,"Sean McDermott","Zac Taylor","New Era Field",0,1,NA,"J.Mixon",NA,0,1,1,0,1,"J.Mixon",0,0,0,"2022_20_CIN_BUF",0,0,0.112451925873756,"(14:18) (Shotgun) 28-J.Mixon right guard to CIN 32 for 5 yards (49-T.Edmunds).","14:18","CIN 27","1st",0.112451925873756,4
"5",1119,1103,"BUF","CIN","POST",20,"CIN","away","BUF",68,"2023-01-22",825,1725,3525,"Half1",0,1,0,1,1,0,10,79,"pass",23,1,0,1,0,0,0,"deep","left",21,2,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Burrow",23,"T.Boyd",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",NA,"T.Johnson",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",108,12,0,"PASS",0,NA,"13:39","BUF 45",1,"Touchdown",6,"3:20",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","11:40","CIN 21","BUF 28","Home",6,48.5,0,"outdoors","a_turf",32,4,"Sean McDermott","Zac Taylor","New Era Field",0,1,"J.Burrow",NA,"T.Boyd",1,0,1,0,1,"J.Burrow",1,0,0,"2022_20_CIN_BUF",0,0,0.112451925873756,"(13:45) (Shotgun) 9-J.Burrow pass deep left to 83-T.Boyd pushed ob at BUF 45 for 23 yards (7-T.Johnson).","13:45","CIN 32","1st",0.112451925873756,5
"6",1120,1104,"BUF","CIN","POST",20,"CIN","away","BUF",45,"2023-01-22",795,1695,3495,"Half1",0,1,0,1,1,0,10,79,"run",10,0,0,0,0,0,0,NA,NA,NA,NA,"right","tackle",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"J.Mixon",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",NA,"J.Poyer",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",137,13,0,"RUSH",0,NA,"13:11","BUF 35",1,"Touchdown",6,"3:20",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","11:40","CIN 21","BUF 28","Home",6,48.5,0,"outdoors","a_turf",32,4,"Sean McDermott","Zac Taylor","New Era Field",0,1,NA,"J.Mixon",NA,0,1,1,0,1,"J.Mixon",0,0,0,"2022_20_CIN_BUF",0,0,0.112451925873756,"(13:15) 28-J.Mixon right tackle to BUF 35 for 10 yards (21-J.Poyer).","13:15","BUF 45","1st",0.112451925873756,6
"7",1121,1105,"BUF","CIN","POST",20,"CIN","away","BUF",35,"2023-01-22",751,1651,3451,"Half1",0,1,0,1,1,0,10,79,"pass",7,1,0,1,0,0,0,"short","right",4,3,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Burrow",7,"H.Hurst",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",NA,"G.Rousseau",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,1,"Touchdown",158,1,0,"PASS",0,NA,"12:28","BUF 28",1,"Touchdown",6,"3:20",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","11:40","CIN 21","BUF 28","Home",6,48.5,0,"outdoors","a_turf",32,4,"Sean McDermott","Zac Taylor","New Era Field",0,1,"J.Burrow",NA,"H.Hurst",1,0,0,0,1,"J.Burrow",0,0,0,"2022_20_CIN_BUF",0,0,0.112451925873756,"(12:31) (Shotgun) 9-J.Burrow pass short right to 88-H.Hurst to BUF 28 for 7 yards (50-G.Rousseau).","12:31","BUF 35","1st",0.0969339211781817,7
"8",1122,1106,"BUF","CIN","POST",20,"CIN","away","BUF",28,"2023-01-22",708,1608,3408,"Half1",0,1,1,1,2,0,3,79,"pass",28,1,0,1,0,0,0,"deep","middle",19,9,NA,NA,NA,NA,NA,NA,3,3,0,NA,"CIN","J.Chase",3,3,0,6,0,0,0,6,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Burrow",28,"J.Chase",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,1,"Touchdown",182,2,0,"PASS",0,NA,"11:40",NA,1,"Touchdown",6,"3:20",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","11:40","CIN 21","BUF 28","Home",6,48.5,0,"outdoors","a_turf",32,4,"Sean McDermott","Zac Taylor","New Era Field",0,1,"J.Burrow",NA,"J.Chase",1,0,1,0,1,"J.Burrow",0,0,0,"2022_20_CIN_BUF",0,0,0.0658979117870331,"(11:48) (Shotgun) 9-J.Burrow pass deep middle to 1-J.Chase for 28 yards, TOUCHDOWN.","11:48","BUF 28","1st",0.0783920263250668,8
"9",1123,1107,"BUF","CIN","POST",20,"CIN","away","BUF",15,"2023-01-22",700,1600,3400,"Half1",0,1,1,1,NA,0,0,79,"extra_point",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,33,"good",NA,3,3,0,NA,NA,NA,3,3,0,7,6,0,6,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.McPherson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,1,"Touchdown",207,3,0,"XP_KICK",1,NA,NA,NA,1,"Touchdown",6,"3:20",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","11:40","CIN 21","BUF 28","Home",6,48.5,0,"outdoors","a_turf",32,4,"Sean McDermott","Zac Taylor","New Era Field",0,1,NA,NA,NA,0,0,0,1,0,NA,0,0,0,"2022_20_CIN_BUF",0,0,0.0568262413144112,"2-E.McPherson extra point is GOOD, Center-48-C.Adomitis, Holder-4-D.Chrisman.","11:40","BUF 15","1st",0.0575027676920096,9
"10",1124,1108,"BUF","CIN","POST",20,"BUF","home","CIN",35,"2023-01-22",700,1600,3400,"Half1",0,2,0,1,NA,0,0,6,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,3,3,0,NA,NA,NA,3,3,0,7,0,7,-7,0,7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N.Hines",NA,NA,"E.McPherson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",NA,"C.Johnston",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUF",22,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,5,0,"Punt",223,5,0,"KICK_OFF",1,NA,"11:36","BUF 24",2,"Punt",3,"1:38",0,0,1,1,0,"KICKOFF","PUNT","11:40","10:02","BUF 24","BUF 30","Home",6,48.5,0,"outdoors","a_turf",32,4,"Sean McDermott","Zac Taylor","New Era Field",0,0,NA,NA,NA,0,0,0,1,0,NA,0,0,0,"2022_20_CIN_BUF",0,0,0.0497841499745846,"2-E.McPherson kicks 63 yards from CIN 35 to BUF 2. 20-N.Hines to BUF 24 for 22 yards (44-C.Johnston).","11:40","CIN 35","1st",0.0508934371173382,10
