"","X.1","X","home_team","away_team","season_type","week","posteam","posteam_type","defteam","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","td_player_name","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_name","passing_yards","receiver_player_name","receiving_yards","rusher_player_name","rushing_yards","lateral_receiver_player_name","lateral_receiving_yards","lateral_rusher_player_name","lateral_rushing_yards","lateral_sack_player_name","interception_player_name","lateral_interception_player_name","punt_returner_player_name","lateral_punt_returner_player_name","kickoff_returner_player_name","lateral_kickoff_returner_player_name","punter_player_name","kicker_player_name","own_kickoff_recovery_player_name","blocked_player_name","tackle_for_loss_1_player_name","tackle_for_loss_2_player_name","qb_hit_1_player_name","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_name","assist_tackle_4_team","tackle_with_assist","tackle_with_assist_1_player_name","tackle_with_assist_1_team","tackle_with_assist_2_player_name","tackle_with_assist_2_team","pass_defense_1_player_name","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_name","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_name","sack_player_name","half_sack_1_player_name","half_sack_2_player_name","return_team","return_yards","penalty_team","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","safety_player_name","season","series","series_success","series_result","order_sequence","play_clock","play_deleted","play_type_nfl","special_teams_play","st_play_type","end_clock_time","end_yard_line","fixed_drive","fixed_drive_result","drive_play_count","drive_time_of_possession","drive_first_downs","drive_ended_with_score","drive_quarter_start","drive_quarter_end","drive_yards_penalized","drive_start_transition","drive_end_transition","drive_game_clock_start","drive_game_clock_end","drive_start_yard_line","drive_end_yard_line","location","spread_line","total_line","div_game","roof","surface","temp","wind","home_coach","away_coach","game_stadium","aborted_play","success","passer","rusher","receiver","pass","rush","first_down","special","play","name","out_of_bounds","home_opening_kickoff","home_team_winner","game_flag","game_over","two_minute_warning","prob","desc","time","yrdln","quarter","prob_new","game_index"
"1",1642,1624,"PHI","NYG","POST",20,NA,NA,NA,NA,"2023-01-21",900,1800,3600,"Half1",0,NA,0,1,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2022,1,1,"First down",1,0,0,"GAME_START",0,NA,NA,NA,1,"Touchdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home",8,48,1,"outdoors","grass",40,6,"Nick Sirianni","Brian Daboll","Lincoln Financial Field",0,0,NA,NA,NA,0,0,NA,0,0,NA,0,1,1,"2022_20_NYG_PHI",0,0,0.721597194671631,"GAME","15:00","NYG 35","1st",0.751044750213623,1
"2",1643,1625,"PHI","NYG","POST",20,"PHI","home","NYG",35,"2023-01-21",900,1800,3600,"Half1",0,1,0,1,NA,0,0,75,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G.Gano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",41,9,0,"KICK_OFF",1,NA,"15:00","PHI 25",1,"Touchdown",8,"4:54",3,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:06","PHI 25","NYG 16","Home",8,48,1,"outdoors","grass",40,6,"Nick Sirianni","Brian Daboll","Lincoln Financial Field",0,0,NA,NA,NA,0,0,0,1,0,NA,0,1,1,"2022_20_NYG_PHI",0,0,0.780492305755615,"9-G.Gano kicks 65 yards from NYG 35 to end zone, Touchback.","15:00","NYG 35","1st",0.760860602060954,2
"3",1644,1626,"PHI","NYG","POST",20,"PHI","home","NYG",75,"2023-01-21",900,1800,3600,"Half1",0,1,0,1,1,0,10,75,"run",2,1,0,0,0,0,0,NA,NA,NA,NA,"left","tackle",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"M.Sanders",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",NA,"J.Ward",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",67,1,0,"RUSH",0,NA,"14:55","PHI 27",1,"Touchdown",8,"4:54",3,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:06","PHI 25","NYG 16","Home",8,48,1,"outdoors","grass",40,6,"Nick Sirianni","Brian Daboll","Lincoln Financial Field",0,0,NA,"M.Sanders",NA,0,1,0,0,1,"M.Sanders",0,1,1,"2022_20_NYG_PHI",0,0,0.780492305755615,"(15:00) (Shotgun) 26-M.Sanders left tackle to PHI 27 for 2 yards (55-J.Ward).","15:00","PHI 25","1st",0.775735557079315,3
"4",1645,1627,"PHI","NYG","POST",20,"PHI","home","NYG",73,"2023-01-21",862,1762,3562,"Half1",0,1,0,1,2,0,8,75,"pass",40,1,0,1,0,0,0,"deep","left",36,4,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Hurts",40,"D.Smith",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",NA,"J.Love",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",88,9,0,"PASS",0,NA,"14:16","NYG 33",1,"Touchdown",8,"4:54",3,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:06","PHI 25","NYG 16","Home",8,48,1,"outdoors","grass",40,6,"Nick Sirianni","Brian Daboll","Lincoln Financial Field",0,1,"J.Hurts",NA,"D.Smith",1,0,1,0,1,"J.Hurts",0,1,1,"2022_20_NYG_PHI",0,0,0.766222059726715,"(14:22) (Shotgun) 1-J.Hurts pass deep left to 6-D.Smith to NYG 33 for 40 yards (20-J.Love).","14:22","PHI 27","1st",0.770978808403015,4
"5",1646,1628,"PHI","NYG","POST",20,"PHI","home","NYG",33,"2023-01-21",819,1719,3519,"Half1",0,1,0,1,1,0,10,75,"pass",9,1,0,1,0,0,0,"short","left",1,8,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"J.Hurts",9,"D.Goedert",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X.McKinney","NYG","A.Jackson","NYG",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",112,5,0,"PASS",0,NA,"13:35","NYG 24",1,"Touchdown",8,"4:54",3,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:06","PHI 25","NYG 16","Home",8,48,1,"outdoors","grass",40,6,"Nick Sirianni","Brian Daboll","Lincoln Financial Field",0,1,"J.Hurts",NA,"D.Goedert",1,0,0,0,1,"J.Hurts",0,1,1,"2022_20_NYG_PHI",0,0,0.766222059726715,"(13:39) (Shotgun) 1-J.Hurts pass short left to 88-D.Goedert to NYG 24 for 9 yards (29-X.McKinney; 22-A.Jackson).","13:39","NYG 33","1st",0.766222059726715,5
"6",1647,1629,"PHI","NYG","POST",20,"PHI","home","NYG",24,"2023-01-21",782,1682,3482,"Half1",0,1,0,1,2,0,1,75,"pass",-2,1,0,1,0,0,0,"short","right",-3,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Hurts",-2,"D.Smith",-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A.Jackson",NA,NA,NA,NA,NA,NA,NA,"NYG",NA,"A.Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",136,9,0,"PASS",0,NA,"12:58","NYG 26",1,"Touchdown",8,"4:54",3,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:06","PHI 25","NYG 16","Home",8,48,1,"outdoors","grass",40,6,"Nick Sirianni","Brian Daboll","Lincoln Financial Field",0,0,"J.Hurts",NA,"D.Smith",1,0,0,0,1,"J.Hurts",0,1,1,"2022_20_NYG_PHI",0,0,0.766222059726715,"(13:02) (Shotgun) 1-J.Hurts pass short right to 6-D.Smith to NYG 26 for -2 yards (22-A.Jackson).","13:02","NYG 24","1st",0.766222059726715,6
"7",1648,1630,"PHI","NYG","POST",20,"PHI","home","NYG",26,"2023-01-21",740,1640,3440,"Half1",0,1,0,1,3,0,3,75,"pass",5,1,0,1,0,0,0,"short","left",4,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Hurts",5,"A.Brown",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",NA,"A.Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",160,4,0,"PASS",0,NA,"12:17","NYG 21",1,"Touchdown",8,"4:54",3,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:06","PHI 25","NYG 16","Home",8,48,1,"outdoors","grass",40,6,"Nick Sirianni","Brian Daboll","Lincoln Financial Field",0,1,"J.Hurts",NA,"A.Brown",1,0,1,0,1,"J.Hurts",0,1,1,"2022_20_NYG_PHI",0,0,0.766222059726715,"(12:20) (Shotgun) 1-J.Hurts pass short left to 11-A.Brown to NYG 21 for 5 yards (22-A.Jackson).","12:20","NYG 26","1st",0.766222059726715,7
"8",1649,1631,"PHI","NYG","POST",20,"PHI","home","NYG",21,"2023-01-21",696,1596,3396,"Half1",0,1,0,1,1,0,10,75,"run",-1,1,0,0,0,0,0,NA,NA,NA,NA,"right","end",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"J.Hurts",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Love",NA,NA,NA,NA,NA,NA,NA,"NYG",NA,"J.Love",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"Touchdown",184,1,0,"RUSH",0,NA,"11:31","NYG 22",1,"Touchdown",8,"4:54",3,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:06","PHI 25","NYG 16","Home",8,48,1,"outdoors","grass",40,6,"Nick Sirianni","Brian Daboll","Lincoln Financial Field",0,0,NA,"J.Hurts",NA,0,1,0,0,1,"J.Hurts",0,1,1,"2022_20_NYG_PHI",0,0,0.766222059726715,"(11:36) (Shotgun) 1-J.Hurts right end to NYG 22 for -1 yards (20-J.Love).","11:36","NYG 21","1st",0.766222059726715,8
"9",1650,1632,"PHI","NYG","POST",20,"PHI","home","NYG",22,"2023-01-21",654,1554,3354,"Half1",0,1,0,1,2,0,11,75,"run",6,1,0,1,0,0,1,NA,NA,NA,NA,"left","end",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"J.Hurts",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NYG",NA,"J.Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"Touchdown",205,5,0,"RUSH",0,NA,"10:48","NYG 16",1,"Touchdown",8,"4:54",3,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:06","PHI 25","NYG 16","Home",8,48,1,"outdoors","grass",40,6,"Nick Sirianni","Brian Daboll","Lincoln Financial Field",0,1,"J.Hurts",NA,NA,1,0,0,0,1,"J.Hurts",1,1,1,"2022_20_NYG_PHI",0,0,0.766222059726715,"(10:54) (Shotgun) 1-J.Hurts scrambles left end pushed ob at NYG 16 for 6 yards (54-J.Smith).","10:54","NYG 22","1st",0.75141716003418,9
"10",1651,1633,"PHI","NYG","POST",20,"PHI","home","NYG",16,"2023-01-21",613,1513,3313,"Half1",0,1,1,1,3,0,5,75,"pass",16,1,0,1,0,0,0,"short","right",3,13,NA,NA,NA,NA,NA,NA,3,3,0,NA,"PHI","D.Goedert",3,3,6,0,0,0,0,6,0,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Hurts",16,"D.Goedert",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"Touchdown",231,2,0,"PASS",0,NA,"10:06",NA,1,"Touchdown",8,"4:54",3,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:06","PHI 25","NYG 16","Home",8,48,1,"outdoors","grass",40,6,"Nick Sirianni","Brian Daboll","Lincoln Financial Field",0,1,"J.Hurts",NA,"D.Goedert",1,0,1,0,1,"J.Hurts",0,1,1,"2022_20_NYG_PHI",0,0,0.721807360649109,"(10:13) (Shotgun) 1-J.Hurts pass short right to 88-D.Goedert for 16 yards, TOUCHDOWN.","10:13","NYG 16","1st",0.741963605086009,10
