"","X.1","X","home_team","away_team","season_type","week","posteam","posteam_type","defteam","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","td_player_name","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_name","passing_yards","receiver_player_name","receiving_yards","rusher_player_name","rushing_yards","lateral_receiver_player_name","lateral_receiving_yards","lateral_rusher_player_name","lateral_rushing_yards","lateral_sack_player_name","interception_player_name","lateral_interception_player_name","punt_returner_player_name","lateral_punt_returner_player_name","kickoff_returner_player_name","lateral_kickoff_returner_player_name","punter_player_name","kicker_player_name","own_kickoff_recovery_player_name","blocked_player_name","tackle_for_loss_1_player_name","tackle_for_loss_2_player_name","qb_hit_1_player_name","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_name","assist_tackle_4_team","tackle_with_assist","tackle_with_assist_1_player_name","tackle_with_assist_1_team","tackle_with_assist_2_player_name","tackle_with_assist_2_team","pass_defense_1_player_name","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_name","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_name","sack_player_name","half_sack_1_player_name","half_sack_2_player_name","return_team","return_yards","penalty_team","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","safety_player_name","season","series","series_success","series_result","order_sequence","play_clock","play_deleted","play_type_nfl","special_teams_play","st_play_type","end_clock_time","end_yard_line","fixed_drive","fixed_drive_result","drive_play_count","drive_time_of_possession","drive_first_downs","drive_ended_with_score","drive_quarter_start","drive_quarter_end","drive_yards_penalized","drive_start_transition","drive_end_transition","drive_game_clock_start","drive_game_clock_end","drive_start_yard_line","drive_end_yard_line","location","spread_line","total_line","div_game","roof","surface","temp","wind","home_coach","away_coach","game_stadium","aborted_play","success","passer","rusher","receiver","pass","rush","first_down","special","play","name","out_of_bounds","home_opening_kickoff","home_team_winner","game_flag","game_over","two_minute_warning","prob","desc","time","yrdln","quarter","prob_new","game_index"
"1",1809,1791,"KC","CIN","POST",21,NA,NA,NA,NA,"2023-01-29",900,1800,3600,"Half1",0,NA,0,1,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2022,1,1,"First down",1,0,0,"GAME_START",0,NA,NA,NA,1,"Punt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,NA,NA,NA,0,0,NA,0,0,NA,0,0,1,"2022_21_CIN_KC",0,0,0.806705594062805,"GAME","15:00","KC 35","1st",0.808464914560318,1
"2",1810,1792,"KC","CIN","POST",21,"CIN","away","KC",35,"2023-01-29",900,1800,3600,"Half1",0,1,0,1,NA,0,0,4,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T.Williams",NA,NA,"H.Butker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC",NA,"D.Harris",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",17,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",41,5,0,"KICK_OFF",1,NA,"14:59","CIN 19",1,"Punt",5,"2:49",1,0,1,1,-5,"KICKOFF","PUNT","15:00","12:11","CIN 19","CIN 23","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,NA,NA,NA,0,0,0,1,0,NA,0,0,1,"2022_21_CIN_KC",0,0,0.810224235057831,"7-H.Butker kicks 63 yards from KC 35 to CIN 2. 32-T.Williams to CIN 19 for 17 yards (47-D.Harris).","15:00","KC 35","1st",0.804771602153778,2
"3",1811,1793,"KC","CIN","POST",21,"CIN","away","KC",81,"2023-01-29",897,1797,3597,"Half1",0,1,0,1,1,0,10,4,"pass",3,1,0,1,0,0,0,"short","left",-2,5,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Burrow",3,"J.Chase",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC",NA,"T.McDuffie",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",66,13,0,"PASS",0,NA,"14:54","CIN 22",1,"Punt",5,"2:49",1,0,1,1,-5,"KICKOFF","PUNT","15:00","12:11","CIN 19","CIN 23","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,"J.Burrow",NA,"J.Chase",1,0,0,0,1,"J.Burrow",0,0,1,"2022_21_CIN_KC",0,0,0.797384977340698,"(14:57) (Shotgun) 9-J.Burrow pass short left to 1-J.Chase to CIN 22 for 3 yards (21-T.McDuffie).","14:57","CIN 19","1st",0.801664729913076,3
"4",1812,1794,"KC","CIN","POST",21,"CIN","away","KC",78,"2023-01-29",862,1762,3562,"Half1",0,1,0,1,2,0,7,4,"pass",9,1,0,1,0,0,0,"short","middle",9,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Burrow",9,"J.Chase",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC",NA,"J.Thornhill",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",90,11,0,"PASS",0,NA,"14:18","CIN 31",1,"Punt",5,"2:49",1,0,1,1,-5,"KICKOFF","PUNT","15:00","12:11","CIN 19","CIN 23","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,1,"J.Burrow",NA,"J.Chase",1,0,1,0,1,"J.Burrow",0,0,1,"2022_21_CIN_KC",0,0,0.797384977340698,"(14:22) (Shotgun) 9-J.Burrow pass short middle to 1-J.Chase to CIN 31 for 9 yards (22-J.Thornhill).","14:22","CIN 22","1st",0.797384977340698,4
"5",1813,1795,"KC","CIN","POST",21,"CIN","away","KC",69,"2023-01-29",822,1722,3522,"Half1",0,1,0,1,1,0,10,4,"pass",0,1,0,1,0,0,0,"short","middle",14,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J.Burrow",NA,"J.Chase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"T.McDuffie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,0,"Punt",114,7,0,"PASS",0,NA,"13:39","CIN 31",1,"Punt",5,"2:49",1,0,1,1,-5,"KICKOFF","PUNT","15:00","12:11","CIN 19","CIN 23","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,"J.Burrow",NA,"J.Chase",1,0,0,0,1,"J.Burrow",0,0,1,"2022_21_CIN_KC",0,0,0.797384977340698,"(13:42) (Shotgun) 9-J.Burrow pass incomplete short middle to 1-J.Chase (21-T.McDuffie).","13:42","CIN 31","1st",0.801664729913076,5
"6",1814,1796,"KC","CIN","POST",21,"CIN","away","KC",69,"2023-01-29",817,1717,3517,"Half1",0,1,0,1,2,0,10,4,"run",6,1,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"S.Perine",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC",NA,"L.Sneed",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,0,"Punt",136,2,0,"RUSH",0,NA,"13:35","CIN 37",1,"Punt",5,"2:49",1,0,1,1,-5,"KICKOFF","PUNT","15:00","12:11","CIN 19","CIN 23","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,1,NA,"S.Perine",NA,0,1,0,0,1,"S.Perine",0,0,1,"2022_21_CIN_KC",0,0,0.810224235057831,"(13:37) (Shotgun) 34-S.Perine up the middle to CIN 37 for 6 yards (38-L.Sneed). KC-38-L.Sneed was injured during the play. He is Out.","13:37","CIN 31","1st",0.805944482485453,6
"7",1815,1797,"KC","CIN","POST",21,"CIN","away","KC",63,"2023-01-29",795,1695,3495,"Half1",0,1,0,1,3,0,4,4,"no_play",0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"CIN","H.Adeniji",5,0,NA,"False Start",0,0,0,0,NA,2022,2,0,"Punt",160,24,0,"PENALTY",0,NA,"13:15","CIN 32",1,"Punt",5,"2:49",1,0,1,1,-5,"KICKOFF","PUNT","15:00","12:11","CIN 19","CIN 23","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,NA,NA,NA,0,0,0,0,1,NA,0,0,1,"2022_21_CIN_KC",0,0,0.810224235057831,"(13:15) (Shotgun) PENALTY on CIN-77-H.Adeniji, False Start, 5 yards, enforced at CIN 37 - No Play.","13:15","CIN 37","1st",0.805944482485453,7
"8",1816,1798,"KC","CIN","POST",21,"CIN","away","KC",68,"2023-01-29",789,1689,3489,"Half1",0,1,0,1,3,0,9,4,"pass",-9,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J.Burrow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F.Clark",NA,"F.Clark",NA,NA,NA,NA,NA,"KC",NA,"F.Clark",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F.Clark",NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,0,"Punt",192,19,0,"SACK",0,NA,NA,"CIN 23",1,"Punt",5,"2:49",1,0,1,1,-5,"KICKOFF","PUNT","15:00","12:11","CIN 19","CIN 23","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,"J.Burrow",NA,NA,1,0,0,0,1,"J.Burrow",0,0,1,"2022_21_CIN_KC",0,0,0.797384977340698,"(13:09) (Shotgun) 9-J.Burrow sacked at CIN 23 for -9 yards (55-F.Clark).","13:09","CIN 32","1st",0.805944482485453,8
"9",1817,1799,"KC","CIN","POST",21,"CIN","away","KC",77,"2023-01-29",743,1643,3443,"Half1",0,1,0,1,4,0,18,4,"punt",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"K.Toney",NA,NA,NA,"D.Chrisman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",NA,"C.Adomitis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC",12,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,0,"Punt",211,17,0,"PUNT",1,NA,"12:11","KC 36",1,"Punt",5,"2:49",1,0,1,1,-5,"KICKOFF","PUNT","15:00","12:11","CIN 19","CIN 23","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,NA,NA,NA,0,0,0,1,0,NA,0,0,1,"2022_21_CIN_KC",0,0,0.810224235057831,"(12:23) 4-D.Chrisman punts 53 yards to KC 24, Center-48-C.Adomitis. 19-K.Toney to KC 36 for 12 yards (48-C.Adomitis).","12:23","CIN 23","1st",0.816103100776672,9
"10",1818,1800,"KC","CIN","POST",21,"KC","home","CIN",64,"2023-01-29",731,1631,3431,"Half1",0,2,0,1,1,0,10,39,"run",2,1,0,0,0,0,0,NA,NA,NA,NA,"left","guard",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"I.Pacheco",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S.Hubbard","CIN","B.Hill","CIN",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",236,17,0,"RUSH",0,NA,"12:08","KC 38",2,"Field goal",7,"3:21",2,1,1,1,0,"PUNT","FIELD_GOAL","12:11","08:50","KC 36","CIN 25","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,NA,"I.Pacheco",NA,0,1,0,0,1,"I.Pacheco",0,0,1,"2022_21_CIN_KC",0,0,0.840700089931488,"(12:11) (Shotgun) 10-I.Pacheco left guard to KC 38 for 2 yards (94-S.Hubbard; 92-B.Hill).","12:11","KC 36","1st",0.834076881408691,10
"11",1819,1801,"KC","CIN","POST",21,"KC","home","CIN",62,"2023-01-29",698,1598,3398,"Half1",0,2,0,1,2,0,8,39,"pass",16,1,0,1,0,0,0,"short","left",-4,20,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"P.Mahomes",16,"I.Pacheco",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",NA,"E.Apple",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",257,13,0,"PASS",0,NA,"11:33","CIN 46",2,"Field goal",7,"3:21",2,1,1,1,0,"PUNT","FIELD_GOAL","12:11","08:50","KC 36","CIN 25","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,1,"P.Mahomes",NA,"I.Pacheco",1,0,1,0,1,"P.Mahomes",1,0,1,"2022_21_CIN_KC",0,0,0.851306319236755,"(11:38) (Shotgun) 15-P.Mahomes pass short left to 10-I.Pacheco pushed ob at CIN 46 for 16 yards (20-E.Apple).","11:38","KC 38","1st",0.847770909468333,11
"12",1820,1802,"KC","CIN","POST",21,"KC","home","CIN",46,"2023-01-29",661,1561,3361,"Half1",0,2,0,1,1,0,10,39,"pass",16,1,0,1,0,0,0,"short","right",5,11,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"P.Mahomes",16,"T.Kelce",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",NA,"V.Bell",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,1,"First down",286,8,0,"PASS",0,NA,"10:56","CIN 30",2,"Field goal",7,"3:21",2,1,1,1,0,"PUNT","FIELD_GOAL","12:11","08:50","KC 36","CIN 25","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,1,"P.Mahomes",NA,"T.Kelce",1,0,1,0,1,"P.Mahomes",0,0,1,"2022_21_CIN_KC",0,0,0.851306319236755,"(11:01) (Shotgun) 15-P.Mahomes pass short right to 87-T.Kelce to CIN 30 for 16 yards (24-V.Bell).","11:01","CIN 46","1st",0.851306319236755,12
"13",1821,1803,"KC","CIN","POST",21,"KC","home","CIN",30,"2023-01-29",614,1514,3314,"Half1",0,2,0,1,1,0,10,39,"pass",3,1,0,1,0,0,0,"short","middle",-1,4,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"P.Mahomes",3,"S.Moore",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.Taylor-Britt","CIN","L.Wilson","CIN",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,5,0,"Field goal",310,1,0,"PASS",0,NA,"10:12","CIN 27",2,"Field goal",7,"3:21",2,1,1,1,0,"PUNT","FIELD_GOAL","12:11","08:50","KC 36","CIN 25","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,"P.Mahomes",NA,"S.Moore",1,0,0,0,1,"P.Mahomes",0,0,1,"2022_21_CIN_KC",0,0,0.851306319236755,"(10:14) (Shotgun) 15-P.Mahomes pass short middle to 24-S.Moore to CIN 27 for 3 yards (29-C.Taylor-Britt; 55-L.Wilson).","10:14","CIN 30","1st",0.847770909468333,13
"14",1822,1804,"KC","CIN","POST",21,"KC","home","CIN",27,"2023-01-29",578,1478,3278,"Half1",0,2,0,1,2,0,7,39,"run",2,1,0,0,0,0,0,NA,NA,NA,NA,"right","guard",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"I.Pacheco",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",NA,"J.Bates",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,5,0,"Field goal",334,10,0,"RUSH",0,NA,"09:33","CIN 25",2,"Field goal",7,"3:21",2,1,1,1,0,"PUNT","FIELD_GOAL","12:11","08:50","KC 36","CIN 25","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,NA,"I.Pacheco",NA,0,1,0,0,1,"I.Pacheco",0,0,1,"2022_21_CIN_KC",0,0,0.840700089931488,"(9:38) (Shotgun) 10-I.Pacheco right guard to CIN 25 for 2 yards (30-J.Bates).","09:38","CIN 27","1st",0.847770909468333,14
"15",1823,1805,"KC","CIN","POST",21,"KC","home","CIN",25,"2023-01-29",539,1439,3239,"Half1",0,2,0,1,3,0,5,39,"pass",0,1,0,1,0,0,0,"deep","left",23,NA,NA,NA,NA,NA,NA,NA,2,3,1,"KC",NA,NA,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"P.Mahomes",NA,"K.Toney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,"upheld",NA,0,0,0,0,NA,2022,5,0,"Field goal",355,8,0,"PASS",0,NA,"08:55","CIN 25",2,"Field goal",7,"3:21",2,1,1,1,0,"PUNT","FIELD_GOAL","12:11","08:50","KC 36","CIN 25","Home",2,48.5,0,"outdoors","grass",22,13,"Andy Reid","Zac Taylor","GEHA Field at Arrowhead Stadium",0,0,"P.Mahomes",NA,"K.Toney",1,0,0,0,1,"P.Mahomes",0,0,1,"2022_21_CIN_KC",0,0,0.851306319236755,"(8:59) (Shotgun) 15-P.Mahomes pass incomplete deep left to 19-K.Toney. Kansas City challenged the incomplete pass ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)","08:59","CIN 25","1st",0.816497683525085,15
