"","X.1","X","home_team","away_team","season_type","week","posteam","posteam_type","defteam","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","td_player_name","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_name","passing_yards","receiver_player_name","receiving_yards","rusher_player_name","rushing_yards","lateral_receiver_player_name","lateral_receiving_yards","lateral_rusher_player_name","lateral_rushing_yards","lateral_sack_player_name","interception_player_name","lateral_interception_player_name","punt_returner_player_name","lateral_punt_returner_player_name","kickoff_returner_player_name","lateral_kickoff_returner_player_name","punter_player_name","kicker_player_name","own_kickoff_recovery_player_name","blocked_player_name","tackle_for_loss_1_player_name","tackle_for_loss_2_player_name","qb_hit_1_player_name","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_name","assist_tackle_4_team","tackle_with_assist","tackle_with_assist_1_player_name","tackle_with_assist_1_team","tackle_with_assist_2_player_name","tackle_with_assist_2_team","pass_defense_1_player_name","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_name","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_name","sack_player_name","half_sack_1_player_name","half_sack_2_player_name","return_team","return_yards","penalty_team","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","safety_player_name","season","series","series_success","series_result","order_sequence","play_clock","play_deleted","play_type_nfl","special_teams_play","st_play_type","end_clock_time","end_yard_line","fixed_drive","fixed_drive_result","drive_play_count","drive_time_of_possession","drive_first_downs","drive_ended_with_score","drive_quarter_start","drive_quarter_end","drive_yards_penalized","drive_start_transition","drive_end_transition","drive_game_clock_start","drive_game_clock_end","drive_start_yard_line","drive_end_yard_line","location","spread_line","total_line","div_game","roof","surface","temp","wind","home_coach","away_coach","game_stadium","aborted_play","success","passer","rusher","receiver","pass","rush","first_down","special","play","name","out_of_bounds","home_opening_kickoff","home_team_winner","game_flag","game_over","two_minute_warning","prob","desc","time","yrdln","quarter","prob_new","game_index"
"1",1990,1972,"PHI","SF","POST",21,NA,NA,NA,NA,"2023-01-29",900,1800,3600,"Half1",0,NA,0,1,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2022,1,1,"First down",1,0,0,"GAME_START",0,NA,NA,NA,1,"Touchdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Home",2.5,45,0,"outdoors","grass",52,14,"Nick Sirianni","Kyle Shanahan","Lincoln Financial Field",0,0,NA,NA,NA,0,0,NA,0,0,NA,0,1,1,"2022_21_SF_PHI",0,0,0.531223833560944,"GAME","15:00","SF 35","1st",0.569884032011033,1
"2",1991,1973,"PHI","SF","POST",21,"PHI","home","SF",35,"2023-01-29",900,1800,3600,"Half1",0,1,0,1,NA,0,0,66,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B.Scott",NA,NA,"R.Gould",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",NA,"J.Ward",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",29,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",41,6,0,"KICK_OFF",1,NA,"14:56","PHI 34",1,"Touchdown",11,"5:12",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","09:48","PHI 34","SF 6","Home",2.5,45,0,"outdoors","grass",52,14,"Nick Sirianni","Kyle Shanahan","Lincoln Financial Field",0,1,NA,NA,NA,0,0,0,1,0,NA,0,1,1,"2022_21_SF_PHI",0,0,0.608544230461121,"9-R.Gould kicks 60 yards from SF 35 to PHI 5. 35-B.Scott to PHI 34 for 29 yards (1-J.Ward).","15:00","SF 35","1st",0.576250096162161,2
"3",1992,1974,"PHI","SF","POST",21,"PHI","home","SF",66,"2023-01-29",894,1794,3594,"Half1",0,1,0,1,1,0,10,66,"pass",6,1,0,1,0,0,0,"short","right",5,1,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Hurts",6,"A.Brown",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",NA,"C.Ward",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",63,10,0,"PASS",0,NA,"14:51","PHI 40",1,"Touchdown",11,"5:12",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","09:48","PHI 34","SF 6","Home",2.5,45,0,"outdoors","grass",52,14,"Nick Sirianni","Kyle Shanahan","Lincoln Financial Field",0,1,"J.Hurts",NA,"A.Brown",1,0,0,0,1,"J.Hurts",0,1,1,"2022_21_SF_PHI",0,0,0.588982224464417,"(14:54) (Shotgun) 1-J.Hurts pass short right to 11-A.Brown to PHI 40 for 6 yards (7-C.Ward).","14:54","PHI 34","1st",0.602023561795553,3
"4",1993,1975,"PHI","SF","POST",21,"PHI","home","SF",60,"2023-01-29",862,1762,3562,"Half1",0,1,0,1,2,0,4,66,"run",6,1,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"M.Sanders",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D.Greenlaw","SF","F.Warner","SF",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",87,14,0,"RUSH",0,NA,"14:19","PHI 46",1,"Touchdown",11,"5:12",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","09:48","PHI 34","SF 6","Home",2.5,45,0,"outdoors","grass",52,14,"Nick Sirianni","Kyle Shanahan","Lincoln Financial Field",0,1,NA,"M.Sanders",NA,0,1,1,0,1,"M.Sanders",0,1,1,"2022_21_SF_PHI",0,0,0.608544230461121,"(14:22) (Shotgun) 26-M.Sanders up the middle to PHI 46 for 6 yards (57-D.Greenlaw; 54-F.Warner). SF-54-F.Warner was injured during the play. His return is Probable.","14:22","PHI 40","1st",0.595502893129985,4
"5",1994,1976,"PHI","SF","POST",21,"PHI","home","SF",54,"2023-01-29",835,1735,3535,"Half1",0,1,0,1,1,0,10,66,"pass",2,1,0,1,0,0,0,"short","left",2,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"J.Hurts",2,"D.Goedert",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A.Armstead",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A.Al-Shaair","SF",NA,NA,NA,NA,NA,NA,1,"O.Burks","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",111,17,0,"PASS",0,NA,"13:49","PHI 48",1,"Touchdown",11,"5:12",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","09:48","PHI 34","SF 6","Home",2.5,45,0,"outdoors","grass",52,14,"Nick Sirianni","Kyle Shanahan","Lincoln Financial Field",0,0,"J.Hurts",NA,"D.Goedert",1,0,0,0,1,"J.Hurts",0,1,1,"2022_21_SF_PHI",0,0,0.588982224464417,"(13:55) (Shotgun) 1-J.Hurts pass short left to 88-D.Goedert to PHI 48 for 2 yards (48-O.Burks, 51-A.Al-Shaair) [91-A.Armstead].","13:55","PHI 46","1st",0.595502893129985,5
"6",1995,1977,"PHI","SF","POST",21,"PHI","home","SF",52,"2023-01-29",795,1695,3495,"Half1",0,1,0,1,2,0,8,66,"pass",0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J.Hurts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",NA,"A.Armstead",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A.Armstead",NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",135,11,0,"SACK",0,NA,"13:09","PHI 48",1,"Touchdown",11,"5:12",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","09:48","PHI 34","SF 6","Home",2.5,45,0,"outdoors","grass",52,14,"Nick Sirianni","Kyle Shanahan","Lincoln Financial Field",0,0,"J.Hurts",NA,NA,1,0,0,0,1,"J.Hurts",1,1,1,"2022_21_SF_PHI",0,0,0.588982224464417,"(13:15) (Shotgun) 1-J.Hurts sacked ob at PHI 48 for 0 yards (91-A.Armstead).","13:15","PHI 48","1st",0.588982224464417,6
"7",1996,1978,"PHI","SF","POST",21,"PHI","home","SF",52,"2023-01-29",756,1656,3456,"Half1",0,1,0,1,3,0,8,66,"pass",10,1,0,1,0,0,0,"short","middle",10,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Hurts",10,"A.Brown",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",NA,"C.Ward",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",168,3,0,"PASS",0,NA,"12:33","SF 42",1,"Touchdown",11,"5:12",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","09:48","PHI 34","SF 6","Home",2.5,45,0,"outdoors","grass",52,14,"Nick Sirianni","Kyle Shanahan","Lincoln Financial Field",0,1,"J.Hurts",NA,"A.Brown",1,0,1,0,1,"J.Hurts",0,1,1,"2022_21_SF_PHI",0,0,0.588982224464417,"(12:36) (Shotgun) 1-J.Hurts pass short middle to 11-A.Brown to SF 42 for 10 yards (7-C.Ward).","12:36","PHI 48","1st",0.595502893129985,7
"8",1997,1979,"PHI","SF","POST",21,"PHI","home","SF",42,"2023-01-29",721,1621,3421,"Half1",0,1,0,1,1,0,10,66,"run",0,1,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,"M.Sanders",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",NA,"K.Givens",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",192,12,0,"RUSH",0,NA,"11:59","SF 42",1,"Touchdown",11,"5:12",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","09:48","PHI 34","SF 6","Home",2.5,45,0,"outdoors","grass",52,14,"Nick Sirianni","Kyle Shanahan","Lincoln Financial Field",0,0,NA,"M.Sanders",NA,0,1,0,0,1,"M.Sanders",0,1,1,"2022_21_SF_PHI",0,0,0.608544230461121,"(12:01) (Shotgun) 26-M.Sanders up the middle to SF 42 for no gain (90-K.Givens).","12:01","SF 42","1st",0.595502893129985,8
"9",1998,1980,"PHI","SF","POST",21,"PHI","home","SF",42,"2023-01-29",678,1578,3378,"Half1",0,1,0,1,2,0,10,66,"pass",0,1,0,1,0,0,0,"short","right",6,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J.Hurts",NA,"D.Goedert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"T.Hufanga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",213,2,0,"PASS",0,NA,"11:13","SF 42",1,"Touchdown",11,"5:12",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","09:48","PHI 34","SF 6","Home",2.5,45,0,"outdoors","grass",52,14,"Nick Sirianni","Kyle Shanahan","Lincoln Financial Field",0,0,"J.Hurts",NA,"D.Goedert",1,0,0,0,1,"J.Hurts",0,1,1,"2022_21_SF_PHI",0,0,0.588982224464417,"(11:18) (Shotgun) 1-J.Hurts pass incomplete short right to 88-D.Goedert (29-T.Hufanga).","11:18","SF 42","1st",0.595502893129985,9
"10",1999,1981,"PHI","SF","POST",21,"PHI","home","SF",42,"2023-01-29",671,1571,3371,"Half1",0,1,0,1,3,0,10,66,"pass",7,1,0,1,0,0,0,"short","middle",7,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Hurts",7,"D.Goedert",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",NA,"T.Hufanga",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",235,2,0,"PASS",0,NA,"11:07","SF 35",1,"Touchdown",11,"5:12",4,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","09:48","PHI 34","SF 6","Home",2.5,45,0,"outdoors","grass",52,14,"Nick Sirianni","Kyle Shanahan","Lincoln Financial Field",0,0,"J.Hurts",NA,"D.Goedert",1,0,0,0,1,"J.Hurts",0,1,1,"2022_21_SF_PHI",0,0,0.588982224464417,"(11:11) (Shotgun) 1-J.Hurts pass short middle to 88-D.Goedert to SF 35 for 7 yards (29-T.Hufanga).","11:11","SF 42","1st",0.588982224464417,10
