"","X.1","X","home_team","away_team","season_type","week","posteam","posteam_type","defteam","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","td_player_name","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_name","passing_yards","receiver_player_name","receiving_yards","rusher_player_name","rushing_yards","lateral_receiver_player_name","lateral_receiving_yards","lateral_rusher_player_name","lateral_rushing_yards","lateral_sack_player_name","interception_player_name","lateral_interception_player_name","punt_returner_player_name","lateral_punt_returner_player_name","kickoff_returner_player_name","lateral_kickoff_returner_player_name","punter_player_name","kicker_player_name","own_kickoff_recovery_player_name","blocked_player_name","tackle_for_loss_1_player_name","tackle_for_loss_2_player_name","qb_hit_1_player_name","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_name","assist_tackle_4_team","tackle_with_assist","tackle_with_assist_1_player_name","tackle_with_assist_1_team","tackle_with_assist_2_player_name","tackle_with_assist_2_team","pass_defense_1_player_name","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_name","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_name","sack_player_name","half_sack_1_player_name","half_sack_2_player_name","return_team","return_yards","penalty_team","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv","safety_player_name","season","series","series_success","series_result","order_sequence","play_clock","play_deleted","play_type_nfl","special_teams_play","st_play_type","end_clock_time","end_yard_line","fixed_drive","fixed_drive_result","drive_play_count","drive_time_of_possession","drive_first_downs","drive_ended_with_score","drive_quarter_start","drive_quarter_end","drive_yards_penalized","drive_start_transition","drive_end_transition","drive_game_clock_start","drive_game_clock_end","drive_start_yard_line","drive_end_yard_line","location","spread_line","total_line","div_game","roof","surface","temp","wind","home_coach","away_coach","game_stadium","aborted_play","success","passer","rusher","receiver","pass","rush","first_down","special","play","name","out_of_bounds","home_opening_kickoff","home_team_winner","game_flag","game_over","two_minute_warning","prob","desc","time","yrdln","quarter","prob_new","game_index"
"1",2147,2129,"PHI","KC","POST",22,NA,NA,NA,NA,"2023-02-12",900,1800,3600,"Half1",0,NA,0,1,NA,0,0,NA,NA,NA,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2022,1,1,"First down",1,0,0,"GAME_START",0,NA,NA,NA,1,"Touchdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neutral",1,51,0,"closed","grass",NA,NA,"Nick Sirianni","Andy Reid","State Farm Stadium",0,0,NA,NA,NA,0,0,NA,0,0,NA,0,1,0,"2022_22_KC_PHI",0,0,0.582183659076691,"GAME","15:00","KC 35","1st",0.619358450174332,1
"2",2148,2130,"PHI","KC","POST",22,"PHI","home","KC",35,"2023-02-12",900,1800,3600,"Half1",0,1,0,1,NA,0,0,75,"kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H.Butker",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",41,7,0,"KICK_OFF",1,NA,"15:00","PHI 25",1,"Touchdown",11,"4:51",6,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:09","PHI 25","KC 1","Neutral",1,51,0,"closed","grass",NA,NA,"Nick Sirianni","Andy Reid","State Farm Stadium",0,0,NA,NA,NA,0,0,0,1,0,NA,0,1,0,"2022_22_KC_PHI",0,0,0.656533241271973,"7-H.Butker kicks 65 yards from KC 35 to end zone, Touchback.","15:00","KC 35","1st",0.631750047206879,2
"3",2149,2131,"PHI","KC","POST",22,"PHI","home","KC",75,"2023-02-12",900,1800,3600,"Half1",0,1,0,1,1,0,10,75,"run",-1,1,0,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,"M.Sanders",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC","T.McDuffie",NA,NA,"KC",NA,"T.McDuffie",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"PHI","M.Sanders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",56,6,0,"RUSH",0,NA,"14:55","PHI 24",1,"Touchdown",11,"4:51",6,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:09","PHI 25","KC 1","Neutral",1,51,0,"closed","grass",NA,NA,"Nick Sirianni","Andy Reid","State Farm Stadium",0,0,NA,"M.Sanders",NA,0,1,0,0,1,"M.Sanders",0,1,0,"2022_22_KC_PHI",0,0,0.656533241271973,"(15:00) (Shotgun) 26-M.Sanders up the middle to PHI 26 for 1 yard (21-T.McDuffie). FUMBLES (21-T.McDuffie), ball out of bounds at PHI 24.","15:00","PHI 25","1st",0.65033636490504,3
"4",2150,2132,"PHI","KC","POST",22,"PHI","home","KC",76,"2023-02-12",866,1766,3566,"Half1",0,1,0,1,2,0,11,75,"pass",6,1,0,1,0,0,0,"short","left",8,-2,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"J.Hurts",6,"D.Smith",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.Sneed","KC",NA,NA,NA,NA,NA,NA,1,"T.McDuffie","KC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",86,13,0,"PASS",0,NA,"14:21","PHI 30",1,"Touchdown",11,"4:51",6,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:09","PHI 25","KC 1","Neutral",1,51,0,"closed","grass",NA,NA,"Nick Sirianni","Andy Reid","State Farm Stadium",0,1,"J.Hurts",NA,"D.Smith",1,0,0,0,1,"J.Hurts",0,1,0,"2022_22_KC_PHI",0,0,0.637942612171173,"(14:26) (Shotgun) 1-J.Hurts pass short left to 6-D.Smith to PHI 30 for 6 yards (21-T.McDuffie, 38-L.Sneed).","14:26","PHI 24","1st",0.644139488538106,4
"5",2151,2133,"PHI","KC","POST",22,"PHI","home","KC",70,"2023-02-12",824,1724,3524,"Half1",0,1,0,1,3,0,5,75,"pass",12,1,0,1,0,0,0,"short","left",3,9,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Hurts",12,"D.Smith",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC",NA,"J.Reid",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,1,1,"First down",110,5,0,"PASS",0,NA,"13:38","PHI 42",1,"Touchdown",11,"4:51",6,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:09","PHI 25","KC 1","Neutral",1,51,0,"closed","grass",NA,NA,"Nick Sirianni","Andy Reid","State Farm Stadium",0,1,"J.Hurts",NA,"D.Smith",1,0,1,0,1,"J.Hurts",1,1,0,"2022_22_KC_PHI",0,0,0.637942612171173,"(13:44) (Shotgun) 1-J.Hurts pass short left to 6-D.Smith pushed ob at PHI 42 for 12 yards (20-J.Reid).","13:44","PHI 30","1st",0.637942612171173,5
"6",2152,2134,"PHI","KC","POST",22,"PHI","home","KC",58,"2023-02-12",796,1696,3496,"Half1",0,1,0,1,1,0,10,75,"pass",0,1,1,1,0,0,0,"deep","left",32,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"J.Hurts",NA,"A.Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",139,15,0,"PASS",0,NA,"13:11","PHI 42",1,"Touchdown",11,"4:51",6,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:09","PHI 25","KC 1","Neutral",1,51,0,"closed","grass",NA,NA,"Nick Sirianni","Andy Reid","State Farm Stadium",0,0,"J.Hurts",NA,"A.Brown",1,0,0,0,1,"J.Hurts",0,1,0,"2022_22_KC_PHI",0,0,0.637942612171173,"(13:16) (No Huddle, Shotgun) 1-J.Hurts pass incomplete deep left to 11-A.Brown.","13:16","PHI 42","1st",0.637942612171173,6
"7",2153,2135,"PHI","KC","POST",22,"PHI","home","KC",58,"2023-02-12",790,1690,3490,"Half1",0,1,0,1,2,0,10,75,"run",11,1,0,1,0,0,1,NA,NA,NA,NA,"left","end",NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"J.Hurts",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Reid","KC","L.Sneed","KC",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,2,1,"First down",161,1,0,"RUSH",0,NA,"13:04","KC 47",1,"Touchdown",11,"4:51",6,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:09","PHI 25","KC 1","Neutral",1,51,0,"closed","grass",NA,NA,"Nick Sirianni","Andy Reid","State Farm Stadium",0,1,"J.Hurts",NA,NA,1,0,1,0,1,"J.Hurts",1,1,0,"2022_22_KC_PHI",0,0,0.637942612171173,"(13:10) (Shotgun) 1-J.Hurts scrambles left end ran ob at KC 47 for 11 yards (20-J.Reid; 38-L.Sneed).","13:10","PHI 42","1st",0.637942612171173,7
"8",2154,2136,"PHI","KC","POST",22,"PHI","home","KC",47,"2023-02-12",751,1651,3451,"Half1",0,1,0,1,1,0,10,75,"pass",13,1,0,1,0,0,0,"short","right",13,0,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Hurts",13,"D.Goedert",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC",NA,"J.Reid",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,3,1,"First down",192,4,0,"PASS",0,NA,"12:27","KC 34",1,"Touchdown",11,"4:51",6,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:09","PHI 25","KC 1","Neutral",1,51,0,"closed","grass",NA,NA,"Nick Sirianni","Andy Reid","State Farm Stadium",0,1,"J.Hurts",NA,"D.Goedert",1,0,1,0,1,"J.Hurts",0,1,0,"2022_22_KC_PHI",0,0,0.637942612171173,"(12:31) (Shotgun) 1-J.Hurts pass short right to 88-D.Goedert to KC 34 for 13 yards (20-J.Reid).","12:31","KC 47","1st",0.637942612171173,8
"9",2155,2137,"PHI","KC","POST",22,"PHI","home","KC",34,"2023-02-12",722,1622,3422,"Half1",0,1,0,1,1,0,10,75,"pass",23,1,1,1,0,0,0,"short","right",10,13,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"J.Hurts",23,"D.Smith",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KC",NA,"W.Gay",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,4,1,"First down",216,18,0,"PASS",0,NA,"11:54","KC 11",1,"Touchdown",11,"4:51",6,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:09","PHI 25","KC 1","Neutral",1,51,0,"closed","grass",NA,NA,"Nick Sirianni","Andy Reid","State Farm Stadium",0,1,"J.Hurts",NA,"D.Smith",1,0,1,0,1,"J.Hurts",0,1,0,"2022_22_KC_PHI",0,0,0.637942612171173,"(12:02) (No Huddle, Shotgun) 1-J.Hurts pass short right to 6-D.Smith to KC 11 for 23 yards (50-W.Gay).","12:02","KC 34","1st",0.637942612171173,9
"10",2156,2138,"PHI","KC","POST",22,"PHI","home","KC",11,"2023-02-12",688,1588,3388,"Half1",0,1,0,1,1,0,10,75,"run",9,1,1,0,0,0,0,NA,NA,NA,NA,"middle",NA,NA,NA,NA,NA,3,3,0,NA,NA,NA,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,"B.Scott",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.Thornhill","KC","T.McDuffie","KC",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,NA,2022,5,1,"First down",240,16,0,"RUSH",0,NA,"11:25","KC 2",1,"Touchdown",11,"4:51",6,1,1,1,0,"KICKOFF","TOUCHDOWN","15:00","10:09","PHI 25","KC 1","Neutral",1,51,0,"closed","grass",NA,NA,"Nick Sirianni","Andy Reid","State Farm Stadium",0,1,NA,"B.Scott",NA,0,1,0,0,1,"B.Scott",0,1,0,"2022_22_KC_PHI",0,0,0.637942612171173,"(11:28) (No Huddle, Shotgun) 35-B.Scott up the middle to KC 2 for 9 yards (22-J.Thornhill; 21-T.McDuffie).","11:28","KC 11","1st",0.637942612171173,10
